TotalEnvInteracts	AverageEpRet1	MinEpRet	AverageEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
32000	355.18	250	0	75.57	0.292018264439822	0.23029708601100018	2.296219	0.034712926
64000	364.58	242	11.58	158.95	1.0263367919921875	0.9421118336117268	6.4832983	0.12032092
96000	379.6	241	12	247.39	2.18643701171875	1.5255943065839128	9.261258	0.31754377
128000	355.07	241	13	335.85	3.647602294921875	2.4849408750197157	15.991482	0.37589812
160000	387.39	240	14	422.13	4.75412890625	2.9643948317911364	18.212025	0.66166705
192000	400.53	240	15	507.99	5.8066025390625	3.646225574138276	26.913193	0.8354608
224000	364.77	240	364	593.7	5.9007900390625	3.809532272184146	25.712307	0.6409354
256000	381.98	240	0	680.8	5.26090673828125	3.938278072925717	30.563078	0.6671644
288000	318.04	240	0	767.61	5.11812109375	3.633305275718309	23.86321	0.57197934
320000	327.07	240	0	854.54	4.7884853515625	3.5928286862512664	22.32931	0.509972
352000	410.21	240	0	942.0	4.956158203125	3.952586672832109	27.117535	0.50553465
384000	311.0	240	910	1027.85	4.86649560546875	3.6268314339103216	24.437864	0.42226028
416000	407.04	240	1245	1112.84	4.8563525390625	4.13930545011781	33.526962	0.4739952
448000	359.13	240	816	1197.75	4.8988173828125	4.0740873211064095	36.337654	0.40526932
480000	361.05	240	889	1282.96	4.52768798828125	3.6740759361198565	24.68711	0.48134953
512000	352.62	240	1071	1370.08	4.5257685546875	3.4898790608522527	25.670187	0.5079825
544000	336.65	240	938	1458.04	4.1697841796875	2.98339087176823	21.744366	0.5157157
576000	308.93	240	922	1545.91	3.868783447265625	2.878644429240958	23.663593	0.44025823
608000	258.45	240	625	1633.91	3.948484375	2.6950094938376377	19.821762	0.49564043
640000	249.53	240	832	1720.63	4.1736689453125	2.433277392158054	18.987837	0.6072425
672000	275.05	240	610	1808.57	4.3532392578125	2.9473105788901006	23.381725	0.47966763
704000	256.66	240	805	1899.0	4.4288974609375	3.0224446851844946	25.787054	0.48529062
736000	272.57	240	622	1990.72	4.5959580078125	3.3040138941142487	25.309828	0.5277432
768000	268.28	240	1250	2080.61	4.16800244140625	3.2056388001750133	24.810492	0.5226033
800000	259.0	240	876	2170.75	4.51473291015625	3.3841842628615835	23.92619	0.6602017
832000	354.27	240	914	2259.83	4.52494970703125	3.611628355049838	21.560946	0.5351169
864000	255.15	240	553	2349.92	4.83956689453125	4.2818124630523	28.361486	0.68555045
896000	260.12	240	554	2439.91	4.40001806640625	4.1796752920382465	27.372612	0.4837305
928000	264.33	240	627	2527.2	4.568583984375	4.678123956245709	27.147924	0.3833415
