TotalEnvInteracts	AverageEpRet1	MinEpRet	AverageEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
32000	353.08	256	1022	72.31	0.3303661366119227	0.2570932834455344	2.053071	0.014795916
64000	374.02	246	889	154.86	0.9029253540039063	0.8360267548728816	5.6608157	0.10033784
96000	380.32	241	929	244.03	1.9451396484375	1.4464905671788877	10.079662	0.16935228
128000	376.04	241	1381	333.72	3.43210693359375	2.442228586506595	17.165604	0.3143168
160000	325.83	240	839	423.2	4.70763037109375	3.2842536847242783	20.175507	0.47425616
192000	369.04	241	1064	511.45	5.74685498046875	3.6769122363404327	26.963139	0.71130204
224000	364.37	240	934	601.1	6.3547138671875	4.3540933506586645	30.20377	0.6571539
256000	351.67	240	1409	691.31	6.2873896484375	4.4385650130419405	30.420088	0.8220122
288000	344.44	240	966	782.01	6.44708544921875	4.5950193824400785	32.88931	0.7710351
320000	341.08	240	908	871.39	6.5687939453125	5.134364158539984	32.75949	0.7442269
352000	352.72	240	1231	961.08	5.6368935546875	4.310884434704206	24.54294	0.7283406
384000	360.98	240	900	1050.13	5.182208984375	4.2883615661316385	33.67783	0.60788965
416000	293.32	240	812	1138.35	4.732455078125	3.6299949423174134	21.91909	0.5904206
448000	306.94	240	809	1225.94	4.1320439453125	3.2376520234577404	21.80661	0.54673886
480000	397.38	240	943	1313.52	4.03359814453125	3.0539913688892444	20.159218	0.48144066
512000	347.76	240	1393	1401.03	3.633001220703125	2.7366176517509713	17.354511	0.39166325
544000	407.49	240	905	1488.92	3.522442626953125	2.553717897038796	17.40617	0.44976383
576000	378.4	240	1233	1578.06	3.490494140625	2.5565790015969094	16.7358	0.34414995
608000	385.13	240	819	1666.62	3.52841455078125	2.63627341146551	20.353134	0.34491274
640000	369.74	240	756	1754.92	3.568054931640625	2.4136382110959587	15.434139	0.5409343
672000	339.93	240	903	1844.4	3.8171982421875	2.8278218932875263	22.448887	0.5882733
704000	349.85	240	1378	1934.66	3.902908447265625	2.931824637171364	20.934475	0.67175776
736000	299.35	240	905	2026.78	4.34523095703125	3.0673036306339156	21.683693	0.8574808
768000	289.8	240	720	2119.29	5.0907685546875	3.4461289423786803	26.204338	0.8602859
800000	335.92	240	1235	2209.71	5.53685107421875	3.5653072820761187	21.284199	0.6770879
832000	253.46	240	548	2301.21	5.9315048828125	3.7974800186686304	26.38521	1.0063325
864000	327.75	240	556	2391.14	6.4882705078125	4.294839517883642	32.388184	0.7441242
896000	286.95	240	745	2481.53	6.77097412109375	4.720285553133942	37.802223	0.7520565
928000	305.35	240	821	2571.11	7.512037109375	5.460432603626749	31.80104	0.72506654
960000	267.85	240	623	2660.52	7.73763525390625	5.989954481254427	35.78193	0.8652222
992000	291.05	240	745	2750.08	8.443509765625	6.811537489344825	50.280807	0.92933506
1024000	320.69	240	820	2841.4	7.66147216796875	6.2626880585536115	38.94412	0.9072285
1056000	496.99	240	1400	2932.02	7.76370654296875	6.574819686215737	44.09149	0.8439467
1088000	379.14	240	959	3020.75	7.87895654296875	7.123133527458263	52.48079	0.63231635
1120000	275.13	240	900	3108.33	8.3933798828125	7.852382450966712	52.546223	0.8502517
1152000	308.12	240	800	3197.06	7.6505556640625	7.460416899376335	56.970203	0.7132556
1184000	300.19	240	863	3284.78	7.5256630859375	8.083451459617976	55.8155	0.5582137
1216000	344.0	240	959	3371.18	7.85753515625	8.85763838799598	84.92342	0.6714168
1248000	302.87	240	815	3459.32	7.6498466796875	8.244024824835257	52.760925	0.42454156
1280000	340.65	240	958	3547.33	6.57659423828125	7.2467595128788425	54.088127	0.6728487
1312000	344.0	240	897	3633.55	6.13733349609375	6.357130592885441	41.077496	0.4607279
1344000	374.29	240	559	3719.67	5.62031201171875	6.228477944088748	55.21951	0.5967083
1376000	350.2	240	814	3806.91	5.5195166015625	5.6415797322204	40.478024	0.6138396
1408000	484.25	240	1253	3894.72	5.2491962890625	5.224678892644983	33.503483	0.5305042
1440000	380.81	240	813	3982.9	5.5174404296875	5.379284992566391	36.445915	0.5632676
1472000	295.86	240	819	4070.79	5.64683984375	5.274603065634418	40.65129	0.87751985
1504000	400.16	240	820	4156.41	5.69508251953125	5.368858773636163	34.32184	0.67509586
1536000	464.15	257	1228	4242.53	6.23651611328125	5.562622014111241	42.261826	0.7703237
1568000	505.26	240	1032	4330.11	6.72705859375	5.796626847788289	47.78244	0.82584286
1600000	392.26	240	1234	4416.98	6.7502607421875	5.768503515860938	32.33987	0.9264936
1632000	292.49	240	1447	4503.88	6.908537109375	6.118229038087738	42.593468	0.86016643
1664000	452.71	240	1486	4590.28	7.0108720703125	5.927959110752199	38.568474	0.62241393
1696000	330.98	240	807	4677.58	7.003080078125	6.326583299854669	59.26682	0.9342833
1728000	336.02	240	821	4764.44	7.066912109375	6.6257664650966985	42.41146	0.7855146
1760000	311.42	240	627	4852.69	7.6309541015625	6.966434592924848	54.693584	0.91002154
1792000	303.27	240	724	4941.74	7.3141806640625	6.473731475644476	51.318314	1.0162221
1824000	346.58	240	733	5030.41	7.44853271484375	7.020101717567916	45.93119	0.8352369
1856000	277.22	240	730	5120.23	7.36821875	7.09397741926206	48.581085	0.92779195
1888000	298.3	240	631	5208.03	6.797958984375	6.654354777136548	37.077484	0.7025507
1920000	460.5	240	956	5295.84	6.4802109375	6.262287608673846	40.315907	0.8052582
1952000	251.94	240	616	5386.74	6.2372197265625	5.684574968995044	38.40604	0.96200836
1984000	297.89	240	968	5477.6	6.3433955078125	6.266486380939481	45.854744	0.79734325
2016000	296.24	240	709	5568.19	6.4571474609375	6.020211725408833	48.00882	0.84718823
2048000	312.34	240	947	5659.29	6.23887353515625	5.915312491745469	44.5582	0.83472717
2080000	287.6	240	815	5750.66	5.6753623046875	5.387215588490496	43.610245	0.7833061
2112000	351.73	240	717	5838.93	5.93538671875	5.470634318225812	36.721607	0.7255441
2144000	348.5	240	1398	5929.28	5.68998828125	5.688528238096828	51.92375	0.65016925
2176000	362.73	240	951	6017.91	6.2381611328125	6.221057360891314	34.218864	0.68702966
2208000	449.25	240	914	6106.39	6.028087890625	6.1828044051627575	38.486553	0.46745753
2240000	429.01	240	964	6193.71	6.7119169921875	6.587560187106452	42.48785	0.7217163
2272000	497.13	240	1075	6280.61	6.47929638671875	6.2526413168756125	40.64231	0.7489809
2304000	506.83	240	955	6367.14	6.83590771484375	6.367977136618818	32.89412	0.7843535
2336000	410.44	240	955	6455.32	6.17300732421875	6.322922707300794	51.781982	0.68189186
2368000	505.68	240	1389	6542.94	6.6617216796875	6.272581705326763	43.175613	0.85082924
2400000	390.06	240	955	6630.23	7.012646484375	6.278901924301733	39.145805	0.8231131
2432000	382.99	240	821	6718.39	6.8048115234375	6.289066653725336	43.266926	0.7267956
2464000	339.22	240	1414	6806.93	6.8750712890625	6.129575459401735	38.8912	0.7865183
2496000	274.97	240	808	6894.85	7.168638671875	6.006608339986885	42.896336	0.7119187
2528000	361.83	240	1090	6982.15	6.724876953125	5.894664563187629	44.499935	0.5967552
2560000	320.86	240	656	7069.22	6.14767822265625	5.870866231869025	40.77632	0.7409143
2592000	371.46	240	1246	7157.41	6.14844580078125	5.486489442826806	33.64899	0.8600911
2624000	427.93	240	1076	7244.72	6.471908203125	5.661565527197403	40.34576	0.54955983
2656000	368.42	240	1383	7333.5	6.8926123046875	6.082017551766848	37.587856	0.8030384
2688000	364.53	240	816	7422.22	6.67198486328125	6.0163033708416	39.339622	0.78465533
2720000	363.26	240	954	7510.74	6.739845703125	6.160149145921712	47.88432	0.78552216
2752000	336.2	240	1395	7598.62	6.615107421875	5.9203891605619985	37.613415	0.70253325
2784000	463.99	240	900	7686.07	6.482666015625	6.165436990291118	43.07931	0.6333657
2816000	474.56	240	974	7774.07	6.4269111328125	6.253113911784272	51.26997	0.7432965
2848000	483.51	240	1228	7860.68	6.4856796875	6.293914781854772	54.116135	0.8479538
2880000	402.4	240	1250	7949.1	6.1292197265625	6.0319345466442185	46.452793	0.6499293
2912000	414.41	240	1408	8037.05	6.37075927734375	6.25246201507854	45.26656	0.7674377
2944000	427.93	240	1514	8124.6	6.63735205078125	6.015275801553075	36.658268	0.70788336
2976000	542.75	240	943	8214.17	7.155880859375	6.748598812901831	33.85265	0.847022
3008000	348.44	240	1380	8301.72	7.67279541015625	6.91210102826919	51.362545	0.9632342
3040000	386.74	240	1332	8390.64	7.4904697265625	6.537886580348423	44.040306	0.9083251
3072000	374.94	240	1335	8477.85	7.833384765625	7.125082784606787	47.75893	0.81099945
3104000	474.14	240	1078	8563.85	8.0336318359375	7.8417497449548845	63.076393	0.8070655
3136000	541.84	240	1326	8651.22	8.531974609375	7.713018114687661	47.06378	1.150003
3168000	652.63	240	1415	8739.3	8.2905888671875	7.445884979302326	45.929123	0.8032342
3200000	748.28	240	1620	8827.24	9.0490849609375	7.7066580386701995	47.389473	1.1857218
