TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
16000	597.36	217	1306	47.88	45.20057219482943	13.800016850905939	58.09618	1.0107387	11.91445187566631	21.704028015314396	154.49995	0.057816442
32000	631.32	217	1539	94.37	50.064078125	2.4973158442177974	54.754604	44.689827	13.64610546875	22.761915148993943	126.96507	0.2608804
48000	687.25	217	1539	142.63	50.701515625	3.6595263098521373	64.565506	41.205517	15.42923046875	25.594494036804086	184.13834	0.3589495
64000	665.07	217	1884	190.72	51.2159296875	6.898316144176055	67.17024	34.549076	19.8040625	35.87505400692799	241.4148	0.87910455
80000	639.46	217	1292	239.05	43.341609375	4.038684641416373	54.578377	31.33572	12.7804375	22.145813656309855	154.6799	0.88100994
96000	677.82	217	1798	287.61	48.061359375	3.7387602390364645	60.94443	39.195274	16.3165244140625	27.862653095137944	243.0112	0.8249244
112000	623.34	217	1811	336.42	47.19309375	4.848412272332046	59.893257	34.25048	14.249494140625	24.25404863110487	143.09955	0.7369432
128000	680.13	218	1871	385.2	38.883078125	2.095775605980993	44.96879	31.636406	10.11471875	16.067153995029734	90.72136	0.6154026
144000	622.07	222	1384	434.84	39.18278125	2.7088981882919208	48.318443	31.446257	9.33021484375	14.550155175289369	93.72142	0.7644012
160000	746.53	217	1904	483.21	40.332765625	3.3614197265627213	49.97435	30.798204	9.8664765625	15.67429324562993	95.51594	0.63835645
176000	694.84	217	1397	533.27	44.43231640625	2.3553879805803755	51.741283	37.606773	10.631423828125	15.627900230837154	93.88363	0.5265819
192000	722.59	222	1789	582.5	40.8703125	2.3469158826332595	49.015636	33.475838	9.2669658203125	13.539328131410363	84.49101	0.65989524
208000	696.76	217	1663	631.6	37.37803125	2.5666399484540094	48.309883	30.93795	8.340244140625	11.834981252625624	84.99983	0.56435955
224000	673.08	217	1308	681.83	44.683515625	2.529132988174999	51.753315	37.823128	10.89383203125	15.421259676174317	93.231766	0.6985965
240000	663.15	215	1604	733.07	44.01126171875	2.6182918379045335	53.902657	36.709923	11.136171875	15.439601071595082	86.44346	0.57848823
256000	693.98	215	1389	793.41	43.7127265625	2.020565106500994	49.609776	38.05077	10.9910703125	14.571976530313243	85.50543	0.6365031
272000	756.36	215	1664	872.58	42.62509375	2.0235670204685894	49.83087	36.91474	11.402201171875	14.934970497125196	100.39708	0.6639007
288000	675.09	215	1880	946.76	43.3376953125	2.5320220658966424	51.294754	36.2191	11.892734375	15.401467564001814	102.42984	0.72009355
304000	744.63	217	1824	1020.17	41.000484375	1.9971297763916094	47.959328	35.252308	10.2315771484375	14.254437905438431	126.360054	0.728204
320000	741.19	223	1823	1092.79	42.68780859375	2.069111916038799	50.012447	36.907967	11.31815234375	16.00125873954921	180.31642	0.53754675
336000	719.61	222	1869	1165.78	42.74444140625	2.6462849844168335	51.954834	35.264587	11.3701123046875	14.75335660959905	88.91258	0.7836045
352000	712.24	215	2581	1238.23	43.0161171875	2.205598124304947	50.514454	36.751587	11.5972548828125	15.227553152098993	125.315384	0.6147721
368000	682.12	223	1828	1310.5	41.21280078125	2.118450384420178	48.24796	35.57933	11.42653125	14.372328556117829	118.320206	0.66001993
384000	588.55	223	1384	1383.27	41.8128125	2.0954256354616834	47.573204	34.906754	12.16021484375	15.548368584034788	102.0238	0.65086764
400000	670.88	226	1384	1454.6	43.02444140625	1.8807721049977055	48.930016	36.882385	11.8334765625	15.4230924671416	124.283005	0.6184546
416000	661.16	217	1551	1525.67	42.08071875	2.363470266201534	49.765816	35.342293	10.897689453125	14.250804801834878	91.068726	0.75813484
432000	715.22	215	2991	1598.4	42.3849296875	2.074594392774465	49.319588	36.531433	11.8953984375	14.4300781789289	75.79114	0.6085221
448000	679.85	215	1314	1670.84	39.1933515625	2.452832287472739	46.785973	33.093822	10.00428125	12.889632461788816	84.82719	0.5295632
464000	623.89	217	1352	1741.88	40.56862890625	2.60194413492104	47.998657	33.08969	10.6339931640625	13.236559220582969	116.89427	0.71685565
480000	628.06	218	1407	1812.91	40.272109375	2.481980469460074	49.234516	32.916363	10.082880859375	12.41735680408677	82.534225	0.7503364
496000	654.46	215	2308	1888.94	39.5073046875	2.51279091132997	47.539192	31.730797	10.104033203125	11.995320050961542	85.66325	0.5971679
512000	710.35	217	1655	1961.97	40.389953125	1.9841086804556285	46.293434	33.786404	10.062482421875	11.71249332977398	92.02037	0.7271073
528000	687.68	215	1871	2039.3	40.94126953125	1.9056332890726575	47.574947	35.17778	9.6100087890625	11.727153320392805	82.81556	0.7254728
544000	667.44	223	1323	2117.41	41.12359375	1.884855867334423	47.742073	35.861942	10.281626953125	12.292695366558142	88.52813	0.7449834
560000	654.6	215	1868	2201.22	40.70591796875	1.8793877046876863	46.4824	35.027878	9.9617236328125	11.01874113726246	74.860306	1.0030658
576000	609.85	222	1820	2279.93	41.228875	2.10613315699649	47.54984	32.500214	10.4220419921875	11.031365084385522	73.85257	0.8694644
592000	662.05	217	1887	2369.9	41.9124921875	2.2835132180890696	47.815704	35.058243	10.09506640625	11.17324545790076	89.99572	0.8816817
608000	691.25	217	2273	2452.37	41.24990625	2.4440617807824028	48.714924	35.11364	9.86051953125	10.593096218764371	79.93425	1.0788727
624000	641.72	217	1580	2539.62	41.9237734375	2.043751433485736	48.622963	35.47258	10.7349267578125	11.248601996470494	70.53195	1.0775759
640000	638.02	215	1403	2619.14	39.7693359375	2.125485927896842	46.157806	33.65338	9.4620859375	9.890403334798838	75.30051	0.9601621
656000	720.67	223	1313	2701.57	39.644890625	2.186729998408011	47.285255	34.14501	8.951337890625	10.080176632256997	130.53194	0.91198814
672000	666.32	217	1817	2783.19	39.432375	2.08262084170703	46.707397	32.76544	9.449087890625	8.927447581055853	59.315697	1.2523892
688000	646.05	217	1801	2865.94	41.09339453125	3.1488441889941936	50.18893	32.50743	9.940728515625	9.626456058695744	61.44825	0.99048656
704000	686.48	217	1884	2942.23	40.9088671875	2.7448973433957873	49.759224	32.42403	10.16086328125	9.43085569089571	75.115364	1.3872948
720000	629.47	222	1301	3029.53	40.9040859375	1.8308992704875588	47.837585	35.625282	9.9517451171875	9.838868233948455	91.99946	1.1106015
