TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
32000	423.45	108	1073	23.38
64000	434.86	111	1437	46.54
96000	439.25	111	883	69.29
128000	391.03	120	1209	92.84
160000	456.62	111	1067	115.08
192000	431.45	111	1201	137.66
224000	452.64	108	1182	160.2
256000	480.71	108	1213	183.71
288000	412.04	111	1072	206.68
320000	367.96	111	1064	229.38
352000	412.56	108	1003	251.83
384000	431.37	105	1024	274.76
416000	515.1	111	1203	297.46
448000	445.75	105	1186	320.69
480000	419.2	111	1013	343.39
512000	418.9	105	1068	365.84
544000	473.99	111	967	389.08
576000	480.31	111	1012	412.16
608000	411.09	111	1208	434.79
640000	449.34	108	1026	457.05
672000	416.32	111	1032	479.72
704000	364.37	105	881	502.49
736000	471.16	120	1008	525.37
768000	443.69	111	1195	547.83
800000	497.98	111	1081	570.97
832000	432.4	108	1028	593.93
864000	418.32	105	1203	616.86
896000	453.03	111	1187	640.28
928000	464.82	111	1510	662.81
960000	468.05	111	1029	685.96
992000	433.95	105	1017	709.8
1024000	460.53	111	1206	734.19
1056000	435.5	111	869	758.59
1088000	471.1	111	984	783.39
1120000	424.17	108	1129	808.42
1152000	450.83	105	1188	833.16
1184000	430.37	105	1074	857.59
1216000	461.84	108	849	882.03
1248000	425.42	105	1025	906.36
1280000	400.1	111	1067	931.34
1312000	427.29	111	871	956.71
1344000	420.95	105	1028	981.06
1376000	455.98	113	1177	1005.51
1408000	418.23	111	1083	1030.34
1440000	470.23	111	1015	1055.14
1472000	441.77	111	1209	1080.31
1504000	443.33	105	1085	1104.85
1536000	470.6	111	1200	1130.16
1568000	478.26	105	1825	1154.94
1600000	454.49	105	1022	1180.45
1632000	526.18	111	1722	1205.85
1664000	469.28	108	1212	1230.77
1696000	477.03	108	1688	1255.46
1728000	444.14	105	1027	1280.3
1760000	451.22	120	1098	1306.12
1792000	512.24	113	1024	1332.42
1824000	474.83	108	1194	1358.29
1856000	420.86	108	998	1384.72
1888000	450.24	105	1081	1410.19
1920000	452.44	108	1016	1435.69
1952000	497.09	105	1071	1461.06
1984000	439.53	111	1220	1486.28
2016000	443.73	108	1034	1514.88
2048000	479.63	108	1195	1542.91
2080000	427.29	108	866	1568.57
2112000	417.93	108	989	1594.57
2144000	462.53	113	1022	1621.59
2176000	463.65	111	1012	1649.15
2208000	533.91	111	1020	1674.94
2240000	468.78	108	1216	1700.7
2272000	478.34	111	1071	1726.74
2304000	461.64	111	1416	1753.16
2336000	458.09	105	1213	1779.61
2368000	432.04	108	1773	1807.33
2400000	383.46	111	1098	1834.2
2432000	385.65	108	1029	1861.05
2464000	467.97	111	972	1887.4
2496000	423.34	108	1012	1914.47
2528000	465.07	105	1033	1940.04
2560000	433.35	108	1021	1965.92
2592000	420.84	105	1036	1991.38
2624000	474.78	108	1016	2016.73
2656000	439.39	105	1064	2044.11
2688000	473.41	105	940	2069.85
2720000	387.41	108	1216	2096.74
2752000	479.86	111	1185	2124.21
2784000	472.71	111	1019	2150.71
2816000	457.33	108	1221	2176.03
2848000	485.85	111	1192	2205.79
2880000	448.07	111	1191	2233.07
2912000	470.64	108	1165	2258.66
2944000	456.61	108	857	2284.24
2976000	481.78	105	1177	2308.77
3008000	431.02	105	850	2335.25
3040000	449.02	111	1207	2360.46
3072000	481.81	111	852	2386.33
3104000	474.56	111	1219	2413.95
3136000	459.34	111	872	2439.61
3168000	452.52	108	1008	2465.4
3200000	455.34	108	1074	2491.2
3232000	436.23	113	1209	2515.56
3264000	442.06	111	1936	2542.28
3296000	453.25	111	967	2567.26
3328000	435.15	105	876	2591.72
3360000	437.33	105	1023	2616.85
3392000	432.92	111	999	2641.99
3424000	467.89	111	1017	2666.4
3456000	439.97	111	1968	2691.03
3488000	450.07	108	841	2716.29
3520000	465.1	108	1023	2740.11
3552000	439.96	111	1185	2765.37
3584000	448.54	105	1197	2790.75
3616000	434.78	113	1044	2816.51
3648000	451.64	111	1416	2841.14
3680000	440.17	108	1079	2865.7
3712000	437.29	111	1052	2890.65
3744000	498.17	105	1080	2916.29
3776000	449.6	108	1787	2942.31
3808000	404.14	113	1034	2967.18
3840000	471.52	111	1059	2991.76
3872000	443.18	111	1189	3016.95
3904000	462.46	108	1010	3041.6
3936000	424.58	108	1001	3067.44
3968000	439.88	111	1171	3092.88
4000000	437.63	111	816	3118.21
4032000	478.2	111	1437	3142.96
4064000	440.68	111	1074	3168.45
4096000	480.76	111	1747	3193.08
4128000	403.23	108	824	3219.17
4160000	414.78	108	1203	3244.63
4192000	450.21	108	1065	3269.33
4224000	409.8	111	878	3294.31
4256000	407.4	111	880	3318.29
4288000	423.14	111	1210	3342.42
4320000	393.69	105	1130	3367.82
4352000	447.27	111	1214	3393.63
4384000	457.61	108	1185	3418.15
4416000	445.3	111	1076	3444.83
4448000	478.03	108	1204	3469.42
4480000	435.72	111	996	3494.52
4512000	431.61	111	1207	3520.38
4544000	411.62	111	1027	3544.94
4576000	461.39	111	1019	3570.04
4608000	450.82	108	1198	3595.67
4640000	429.84	111	859	3620.8
4672000	433.55	108	833	3645.13
4704000	456.34	111	1027	3670.31
4736000	515.46	111	1475	3696.76
4768000	419.51	108	1407	3721.24
4800000	451.27	108	1028	3745.86
4832000	458.27	108	1212	3771.54
4864000	414.62	108	861	3795.69
4896000	435.32	108	854	3820.95
4928000	426.45	105	1212	3845.65
4960000	462.64	105	1388	3871.84
4992000	474.91	108	1087	3896.74
5024000	448.01	108	1175	3922.22
5056000	459.77	111	1026	3947.03
5088000	453.92	111	989	3971.57
5120000	440.51	105	1081	3997.43
5152000	451.61	105	859	4022.47
5184000	433.95	108	1003	4048.06
5216000	454.05	113	847	4073.53
5248000	404.43	108	1034	4098.47
5280000	397.27	111	1213	4123.0
5312000	456.4	111	1209	4147.47
5344000	419.61	111	1196	4172.97
5376000	441.74	108	1025	4198.04
5408000	401.82	105	1019	4224.12
5440000	479.44	105	1034	4250.87
5472000	522.7	105	1174	4275.1
5504000	433.16	111	1214	4300.26
5536000	442.45	105	1017	4326.01
5568000	470.42	108	1078	4355.04
5600000	456.22	105	1172	4392.11
5632000	466.72	108	1233	4419.53
5664000	371.32	105	879	4445.34
5696000	477.68	111	1470	4470.29
5728000	465.41	105	1415	4496.57
5760000	437.11	108	1210	4524.41
5792000	483.41	108	1168	4551.61
5824000	429.08	105	914	4578.01
5856000	472.36	111	1201	4604.92
5888000	499.88	108	1084	4630.53
5920000	420.64	108	1232	4655.66
5952000	476.11	108	1208	4683.98
5984000	423.87	111	1021	4710.03
6016000	388.55	111	866	4736.1
6048000	446.48	108	1050	4762.69
6080000	447.02	105	1032	4788.53
6112000	375.83	111	1079	4817.31
6144000	458.4	108	1073	4843.41
6176000	453.76	105	1026	4871.82
6208000	457.21	108	1436	4898.3
6240000	446.12	111	1210	4924.65
6272000	483.67	105	1512	4951.07
6304000	439.76	111	1067	4978.33
6336000	428.49	111	976	5005.96
6368000	420.42	105	1030	5032.49
6400000	396.28	105	1070	5059.58
6432000	473.98	111	1080	5086.75
6464000	449.06	111	1508	5113.77
6496000	461.94	111	1025	5140.6
6528000	468.22	105	1211	5167.19
6560000	382.91	108	1065	5193.96
6592000	413.09	105	1074	5221.97
6624000	350.69	111	1218	5248.6
