TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
32000	470.95	108	1037	58.14	2.056337	0.85027575	4.731524	0.7252269	0.37848487	0.24269134	1.7859895	0.065589264
64000	399.12	105	1202	120.83	5.4093356	1.3232985	9.199086	1.8821766	1.5000373	0.8798553	6.1036925	0.29854238
96000	408.25	111	1215	182.03	8.90114	1.4672552	13.928844	4.8152485	2.975205	1.5510951	10.023567	0.6071895
128000	453.24	111	1029	243.45	12.053099	1.6197356	17.466305	6.632276	4.827465	2.6452093	24.298698	1.0238857
160000	395.58	111	1029	305.05	15.354527	1.7489595	21.1161	10.299009	6.2076325	3.4366124	27.37713	1.1341195
192000	404.74	113	999	365.93	18.850248	1.9019285	24.72043	12.934999	7.2142982	4.1796412	29.160286	1.0875397
224000	280.32	111	1005	426.15	22.175598	1.7373794	26.71128	17.328394	8.0416355	4.837406	36.404488	1.4115548
256000	351.61	105	1019	486.49	25.061247	1.4601057	29.193562	19.814308	8.863918	5.2275968	39.43371	1.6620808
288000	416.34	113	1077	547.08	26.516298	1.3064644	30.923271	22.452908	7.9257665	4.7021284	30.851746	1.3430731
320000	572.37	120	1000	607.09	27.843174	1.3228155	31.451035	23.54493	6.95152	4.8058677	36.202156	1.1934047
352000	577.2	120	836	666.84	29.262367	1.3883774	33.608467	24.944313	6.274419	4.317542	30.958302	1.4690429
384000	628.82	194	996	726.59	30.748356	1.4065297	34.791725	24.965168	5.679095	4.53618	35.386932	1.176248
416000	569.56	120	840	786.38	32.025085	1.3157226	36.612335	27.246466	4.486535	3.5377867	30.550426	0.84275794
448000	570.56	120	865	845.89	32.68094	1.3421012	36.54165	28.044727	4.3703165	3.4551377	28.21225	0.68034905
480000	559.45	120	1075	905.32	32.95839	1.2113062	36.757515	29.477432	4.4887342	3.321638	27.096361	0.70824116
512000	580.79	120	807	965.07	32.10807	1.3628007	36.467148	27.518316	4.427587	3.0059435	22.970785	0.71026003
544000	620.22	120	1422	1025.03	31.371223	1.3342699	35.67112	27.285152	4.258954	3.0031822	24.816587	0.52705586
576000	608.61	120	1202	1084.7	30.450008	1.2952567	34.928066	26.52284	3.8862314	2.7777927	26.52851	0.40479857
608000	536.15	120	1202	1144.34	29.413946	1.3094828	33.333176	25.211231	3.819285	2.62493	17.893024	0.48782703
640000	561.39	120	877	1203.7	28.498262	1.4027042	32.414864	24.024723	3.6015081	2.5284238	20.694733	0.44582522
672000	576.55	120	1097	1262.99	26.944786	1.4354498	32.92433	21.662292	3.7609951	3.047718	28.743511	0.35692698
704000	540.92	120	794	1322.38	25.181597	1.4425445	29.78832	20.564669	3.7806065	3.4834185	20.469154	0.31713936
736000	564.95	329	797	1381.94	23.470781	1.2703128	27.40533	19.097977	3.543671	3.421703	24.136543	0.2327933
768000	610.52	433	802	1441.75	23.239086	1.2701148	27.623474	18.546036	3.6597316	3.6380486	20.800865	0.31421125
800000	579.84	194	844	1501.18	23.327785	1.3490075	28.941803	19.799957	3.5317097	3.510125	24.133417	0.28293207
832000	571.44	194	780	1560.63	22.662437	1.4690447	27.257032	17.420944	3.8660746	3.8398964	26.462692	0.29365346
864000	534.86	120	709	1620.23	20.980728	1.5362965	26.141052	15.907646	4.210864	4.4407716	27.58443	0.3625942
896000	613.87	120	1155	1679.75	19.848167	1.5910103	25.571373	14.988569	3.888848	4.491914	32.369377	0.27804148
928000	440.97	120	849	1739.11	18.416914	1.58899	24.507717	13.309448	3.8843565	4.5314736	23.342867	0.24790196
960000	621.07	120	1055	1798.55	20.307047	1.7805914	25.58279	14.646913	4.451616	5.347482	34.91474	0.2840293
992000	531.33	120	807	1857.93	21.029692	1.5993916	25.769194	15.238502	3.9253926	5.0958295	31.153543	0.3151946
1024000	619.94	391	808	1917.28	22.50717	1.8878595	28.20713	16.336731	3.857638	4.956479	47.83081	0.30805436
1056000	658.17	120	797	1976.91	23.271814	1.8953011	29.3652	17.155615	3.5669346	3.8375535	32.64739	0.32890624
1088000	709.98	120	841	2036.64	25.307774	2.020536	32.522453	18.044895	4.0071383	4.5800066	42.06501	0.24377558
1120000	687.85	120	848	2096.69	25.988216	2.1598907	33.186256	20.06953	4.1411777	4.975385	33.24862	0.33484983
1152000	731.42	516	883	2156.39	26.859821	2.2094436	35.00667	19.195637	3.4747748	4.2070894	27.17599	0.20129004
1184000	669.09	120	1024	2215.8	28.643608	2.178783	36.139786	20.448214	2.9392364	3.9744084	30.236828	0.26891315
1216000	686.37	120	851	2275.79	31.399332	2.272074	39.830063	24.61997	3.3768232	5.126155	41.372787	0.29649925
1248000	722.08	120	871	2335.21	33.00175	2.0553188	38.97547	26.601833	3.1952643	4.6405196	30.602003	0.29690498
1280000	741.25	120	883	2395.2	32.570732	2.1130853	39.33525	26.546791	3.5926318	5.1929693	40.112106	0.36405957
1312000	776.58	120	807	2455.21	33.046898	2.1165648	39.965107	26.754261	3.2542768	4.0870576	28.166386	0.28618994
1344000	790.44	702	867	2515.34	33.421623	2.3342834	41.72528	27.25454	2.1723433	2.8287125	23.826712	0.26346666
