TotalEnvInteracts	AverageEpRet1	MinEpRet	AverageEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
2304000	403.01	240	1250	6599.9	5.8428935546875	5.028160542136657	48.777794	0.86221427
2336000	346.08	240	1390	6694.3	6.4530341796875	5.838732137095347	39.018547	0.9511146
2368000	416.34	240	1391	6788.24	6.1840791015625	5.718107375095802	34.88205	0.99790835
2400000	434.44	240	1398	6886.13	6.2706865234375	5.619838604221655	39.907413	0.94803673
2432000	359.56	240	901	6988.1	6.5084287109375	5.748300020440825	38.23024	0.803594
2464000	415.23	240	948	7083.04	6.5931123046875	5.824639540885771	42.99533	1.006144
2496000	327.5	240	950	7185.14	6.74113525390625	6.167757645611572	49.57292	0.9039089
2528000	416.9	240	1403	7286.66	6.79640625	6.458859588774167	52.742973	0.8814942
2560000	309.6	240	904	7387.66	6.457830078125	5.780931072284118	45.56771	0.84315026
2592000	411.39	240	1415	7488.75	6.65162158203125	6.275463752783534	39.380898	0.7719112
2624000	428.84	240	1315	7591.75	7.0144306640625	6.548819669413718	39.38217	0.7148686
2656000	474.74	240	1396	7689.47	6.87512890625	6.031668055459451	39.937202	1.0472131
2688000	404.16	240	1240	7792.2	6.8686767578125	6.408797664148869	43.48434	0.7393817
2720000	380.13	240	1242	7892.64	7.1013662109375	6.87274622148963	61.911655	0.99167395
2752000	405.74	240	1243	7988.84	7.5716044921875	7.651889829888431	65.49555	0.8344403
2784000	421.23	240	967	8086.47	7.29155322265625	7.017068476222817	58.926533	1.0179774
2816000	445.26	240	1245	8183.62	7.15332861328125	6.633948555536137	56.356323	1.215845
2848000	453.07	240	1245	8279.3	8.0183359375	7.81855964996111	61.470722	0.84470063
2880000	394.04	240	1394	8377.34	8.208884765625	7.271648444042794	46.69949	1.1116836
2912000	525.53	240	1403	8475.07	7.81499072265625	6.727991899519499	44.410793	0.8823104
2944000	424.01	240	972	8571.13	7.7082568359375	6.6526997574293105	49.14946	1.2069101
2976000	510.95	240	1394	8666.91	7.6611220703125	6.442120914341798	43.844097	1.1049476
3008000	419.4	240	1252	8764.03	7.65060595703125	6.276510961015682	37.666584	1.2223138
3040000	482.38	240	950	8860.11	8.0815556640625	7.006103365994538	44.21414	1.1311986
3072000	410.34	240	1390	8958.94	7.86570556640625	6.842422531074064	52.955086	1.1233821
3104000	426.8	240	958	9054.49	8.33574609375	6.729409277102263	51.841442	1.1695585
3136000	432.26	240	1243	9150.49	7.921634765625	6.1820019765040515	40.907562	0.8965026
3168000	379.02	240	971	9247.97	8.6450341796875	6.94354410135775	45.569054	1.2872155
3200000	417.05	240	1398	9346.57	8.65512109375	7.011091658935861	55.908474	1.0182145
3232000	410.88	240	1231	9444.17	8.554837890625	6.726400586030392	46.73606	1.4311664
3264000	446.33	240	1416	9540.4	8.652583984375	7.2702639760362215	60.70899	1.082116
3296000	444.51	240	959	9636.16	8.733591796875	7.53840479644069	61.920856	1.3350241
3328000	399.17	240	1245	9734.52	8.6676728515625	7.300208151998134	53.52114	1.1412761
3360000	455.6	240	1248	9843.58	8.446298828125	6.841710883434055	51.46608	1.1855208
3392000	439.11	240	960	9946.75	8.93697265625	6.699973472428828	42.50882	1.34336
