TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
16000	489.82	105	1149	58.14	0.37917954	0.26711044	2.0809124	0.05267965
32000	424.67	105	1216	122.88	1.5037929	0.9535429	6.553638	0.2291336
48000	482.37	105	1094	194.13	3.372171	1.7718142	14.6734085	0.8479855
64000	426.83	111	1037	265.33	5.018333	2.860476	19.598839	1.0230117
80000	404.34	111	1210	335.46	6.2432666	3.392422	19.461077	0.83804286
96000	402.5	111	1089	406.09	7.3411903	4.210873	27.66401	1.5014701
112000	324.44	111	1075	478.97	8.292935	4.7872005	42.994377	1.4825864
128000	402.97	111	1032	551.28	9.280758	5.1720724	37.248604	1.7955173
144000	397.03	113	1080	624.3	9.683466	5.604824	37.549286	1.7303743
160000	398.2	113	1010	697.14	9.318336	5.695914	41.18568	1.4287553
176000	502.02	120	1068	770.32	8.955236	5.509523	39.819004	1.7035508
192000	488.84	120	1022	843.31	8.07506	4.881486	38.149986	1.2349242
208000	542.76	120	1083	915.68	7.5189824	5.107278	36.15565	1.4213383
224000	594.91	120	1010	988.74	7.101361	4.5765457	33.737427	1.6464043
240000	644.3	120	1052	1061.84	6.765596	4.117804	39.972187	1.348507
256000	638.6	120	1017	1133.75	5.7303486	3.621009	32.341484	1.1373823
272000	617.72	120	1017	1207.58	5.2318006	3.5598903	43.076534	0.868917
288000	638.33	120	966	1281.61	4.7519584	3.3436458	33.81504	1.0807132
304000	675.68	120	842	1354.99	4.121687	2.9108968	24.383842	0.8040768
320000	646.26	120	1014	1429.75	4.0556583	2.7570586	21.684444	0.6572843
336000	654.48	120	1182	1503.47	3.9792645	2.538459	30.58624	0.7637898
352000	728.51	120	1510	1576.58	4.0354013	2.491055	18.277948	0.5206392
368000	779.83	194	1543	1650.72	4.1866045	2.6306977	38.621952	0.5980494
384000	756.8	194	1543	1724.18	4.1012	2.654401	31.69246	0.52395535
400000	689.51	120	1210	1798.08	4.3021536	3.006024	31.402102	0.5767616
416000	680.18	120	1068	1871.26	4.1965513	2.9867527	18.131706	0.41022295
432000	690.1	120	1068	1945.36	4.3031793	3.427775	26.637728	0.6947698
448000	709.77	120	827	2019.25	4.172559	3.4813151	21.171663	0.51820946
464000	712.73	27	837	2092.92	4.013247	4.0945535	29.724472	0.5139584
480000	738.11	120	851	2165.89	3.97633	4.41366	34.184055	0.3744403
496000	781.7	120	1207	2239.45	4.8023553	5.457975	35.011513	0.46721503
512000	782.28	120	1207	2313.53	5.36425	6.37813	39.460697	0.52305454
528000	756.75	120	1207	2388.0	5.7145615	7.2365847	58.973564	0.65185475
544000	724.86	120	1038	2460.9	5.541293	7.30514	64.9363	0.61502564
560000	791.82	120	1216	2534.57	6.4008694	8.485005	64.78308	0.63150823
576000	747.28	120	1216	2608.25	6.3779354	9.1372595	59.804962	0.49784827
592000	745.08	-133	1216	2681.92	5.6076493	8.896735	72.516235	0.45720404
608000	656.11	-133	1066	2755.55	5.2332616	8.535403	58.397476	0.3868867
624000	762.26	-133	1189	2829.59	5.9595466	9.740008	76.441864	0.34944645
640000	775.92	27	1189	2903.19	5.6965	9.188702	68.84366	0.3608541
656000	684.38	120	1199	2977.67	5.9582787	9.586923	82.99466	0.3611042
672000	537.4	120	1524	3050.77	6.6382704	9.705565	54.230732	0.55082566
688000	411.21	120	1275	3127.86	6.9775925	9.167655	66.69998	0.52570134
704000	793.42	120	1275	3203.97	8.782134	10.506259	66.99324	0.77870107
720000	764.48	120	1216	3298.79	7.9648886	9.277301	52.53134	0.7981547
736000	775.22	120	1526	3372.65	7.706635	8.995864	70.368706	0.83322
752000	807.6	120	1905	3446.45	7.4874363	7.8604035	49.58164	0.6099302
768000	816.75	120	1092	3521.12	7.0427847	7.291228	47.09717	0.6850248
784000	805.4	120	1033	3595.57	6.623613	7.4522314	60.630806	0.45696315
800000	787.53	120	1275	3669.34	6.1040635	6.5359745	38.64405	0.49590856
816000	809.44	120	1453	3743.17	5.290087	5.1511874	34.58934	0.48386896
