TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
5760000	687.51	217	1879	4551.46
5792000	671.99	217	1306	4577.77
5824000	661.19	217	1374	4605.32
5856000	667.56	215	1364	4632.61
5888000	624.64	217	1620	4660.22
5920000	649.58	217	1299	4687.34
5952000	649.35	215	1651	4714.04
5984000	593.4	215	1313	4740.82
6016000	684.14	217	1819	4766.27
6048000	609.59	215	1301	4792.63
6080000	630.96	217	1384	4819.64
6112000	682.7	217	1793	4846.77
6144000	684.78	215	2587	4873.64
6176000	626.5	217	2294	4900.71
6208000	595.89	215	1299	4927.63
6240000	646.01	215	1308	4953.84
6272000	668.48	215	2942	4979.25
6304000	701.14	215	1816	5005.3
6336000	652.67	223	1308	5030.76
6368000	668.47	215	1658	5055.73
6400000	677.12	223	1534	5080.89
6432000	619.03	218	1622	5106.89
6464000	671.94	215	1786	5132.43
6496000	701.2	218	1638	5158.14
6528000	656.34	222	1800	5183.72
6560000	703.11	215	1666	5209.01
6592000	726.57	222	1881	5234.77
6624000	660.21	223	2976	5260.3
6656000	611.54	217	1752	5285.55
6688000	704.1	218	1780	5312.83
6720000	675.45	222	1293	5338.23
6752000	640.43	217	1306	5362.77
6784000	650.91	215	2264	5388.38
6816000	581.55	217	1397	5414.07
6848000	680.05	217	1380	5439.47
6880000	644.8	223	1306	5464.96
6912000	640.15	217	2579	5490.27
6944000	641.4	217	1747	5515.2
6976000	690.25	218	2802	5541.56
7008000	655.12	215	1647	5566.34
7040000	637.63	218	1319	5591.8
7072000	638.02	217	1302	5617.17
7104000	620.64	217	1388	5643.17
7136000	680.68	222	2285	5668.52
7168000	733.63	223	1400	5694.16
7200000	707.63	215	1298	5719.92
7232000	666.39	215	1315	5746.13
7264000	647.73	223	2303	5771.33
7296000	678.35	217	1870	5795.22
7328000	690.42	217	1309	5820.74
7360000	658.2	218	1407	5847.2
7392000	619.53	218	1440	5873.07
7424000	633.06	218	1313	5898.69
7456000	639.08	215	1283	5923.8
7488000	665.67	215	1308	5950.22
7520000	596.76	217	1310	5976.87
7552000	640.23	223	1512	6001.81
7584000	619.07	215	1309	6028.52
7616000	698.0	217	1391	6053.81
7648000	711.74	218	2951	6079.35
7680000	659.84	215	1376	6105.02
7712000	714.84	218	1885	6130.71
7744000	663.09	215	1386	6156.0
7776000	619.12	215	1862	6181.05
7808000	644.21	215	1809	6205.32
7840000	635.37	223	2333	6231.35
7872000	636.35	217	1642	6257.18
7904000	625.01	217	1302	6281.92
7936000	592.81	215	1298	6308.08
7968000	678.47	215	1736	6333.02
8000000	665.97	217	2436	6357.63
8032000	661.2	215	1373	6383.28
8064000	658.4	215	1876	6408.58
8096000	636.08	215	1503	6433.5
8128000	682.78	218	1605	6459.32
8160000	617.34	218	1330	6483.92
8192000	683.4	217	1313	6508.87
8224000	705.94	217	1790	6533.36
8256000	634.91	217	1356	6559.02
8288000	660.27	218	2235	6584.27
8320000	720.51	231	1847	6609.96
8352000	658.67	215	1301	6634.06
8384000	641.89	217	1298	6659.29
8416000	613.5	215	1320	6685.26
8448000	613.56	215	1648	6710.72
8480000	604.84	215	1406	6736.92
8512000	680.9	215	2302	6762.23
8544000	605.13	222	2319	6792.58
8576000	606.3	223	1807	6818.86
8608000	643.51	217	2284	6846.51
8640000	597.03	217	2841	6872.21
8672000	665.13	218	1295	6899.84
8704000	637.11	218	1487	6927.32
8736000	660.82	217	2470	6953.97
8768000	651.79	222	2193	6981.01
8800000	634.12	218	1296	7007.62
8832000	606.22	218	1505	7034.43
8864000	602.41	215	1512	7060.37
8896000	656.23	223	1307	7087.27
8928000	716.02	226	1852	7114.6
8960000	697.34	217	2196	7140.62
8992000	663.8	218	1464	7168.59
9024000	670.78	215	1396	7194.61
9056000	640.92	218	1293	7220.23
9088000	609.3	217	1883	7247.39
9120000	650.16	218	1890	7273.24
9152000	641.59	215	1621	7300.33
9184000	622.96	218	1665	7326.72
9216000	614.31	215	1534	7353.66
9248000	652.96	217	1389	7379.21
9280000	601.74	215	1287	7405.4
9312000	648.06	218	2266	7431.69
9344000	679.55	223	1790	7457.75
9376000	647.67	215	1389	7485.34
9408000	617.9	218	1605	7511.52
9440000	670.1	217	1314	7536.56
9472000	668.27	217	1493	7562.94
9504000	764.24	223	1540	7588.52
9536000	644.44	217	1303	7613.27
9568000	616.69	215	1644	7639.27
9600000	657.26	217	1300	7665.0
9632000	683.51	218	2498	7691.34
9664000	668.34	215	1877	7717.02
9696000	665.85	218	1811	7742.11
9728000	637.13	217	1301	7766.96
9760000	613.79	217	1872	7792.4
9792000	665.24	218	1659	7818.66
9824000	704.77	217	1650	7843.58
9856000	631.4	217	1624	7869.96
9888000	597.83	217	1318	7894.99
9920000	681.96	222	1398	7920.27
9952000	675.68	218	1633	7946.28
9984000	692.42	215	1825	7971.32
10016000	634.86	217	1313	7995.86
10048000	622.15	222	1519	8021.03
10080000	698.98	218	1362	8045.07
10112000	702.77	215	1862	8069.57
10144000	600.94	217	1336	8093.89
10176000	665.69	217	1585	8118.27
10208000	669.48	222	2530	8142.78
10240000	680.84	223	1799	8167.44
10272000	646.78	217	1317	8192.21
10304000	633.73	217	1639	8216.69
10336000	691.94	223	1631	8241.86
10368000	738.94	222	1800	8266.47
10400000	664.46	218	2554	8291.25
10432000	678.51	222	1354	8315.68
10464000	659.84	217	2935	8340.51
10496000	667.36	223	1316	8364.52
10528000	665.86	217	1309	8389.66
10560000	686.82	222	1313	8414.48
10592000	645.11	217	1312	8439.6
10624000	746.18	222	2236	8463.83
10656000	716.85	217	2576	8488.63
10688000	633.38	218	1296	8514.09
10720000	659.04	215	1490	8538.04
10752000	662.36	218	1345	8562.67
10784000	627.94	215	1362	8587.33
10816000	648.06	223	1862	8612.57
10848000	657.65	217	1863	8637.17
10880000	658.85	217	1308	8661.33
10912000	683.34	217	1858	8686.75
10944000	637.82	217	1522	8711.2
10976000	687.27	217	1815	8735.15
11008000	602.91	215	1367	8759.81
11040000	709.9	222	1355	8785.61
11072000	659.37	223	1416	8810.15
11104000	631.93	215	1300	8834.94
11136000	631.88	217	1310	8858.96
11168000	626.09	215	1351	8883.51
11200000	647.08	215	1301	8908.21
11232000	677.41	223	1615	8933.18
11264000	652.48	215	1792	8956.79
11296000	606.57	217	1288	8981.29
11328000	586.22	215	1724	9006.5
11360000	654.59	217	1387	9030.64
11392000	680.82	217	1594	9054.92
11424000	614.16	215	1792	9079.95
11456000	674.32	217	1308	9104.44
11488000	692.28	217	1763	9130.11
11520000	701.84	215	1813	9154.61
11552000	644.23	217	1310	9179.53
11584000	689.11	223	2979	9204.24
11616000	691.95	217	1621	9228.94
11648000	636.7	215	2902	9253.25
11680000	674.54	218	3006	9277.63
11712000	649.43	217	1343	9302.46
11744000	673.33	215	1850	9328.22
11776000	598.52	217	1296	9353.24
11808000	703.6	215	1801	9376.81
11840000	611.19	218	1310	9401.3
11872000	652.76	217	1791	9426.09
11904000	723.7	215	2994	9451.15
11936000	650.95	223	1397	9476.43
11968000	633.07	215	1520	9501.09
12000000	662.8	222	1355	9526.02
12032000	691.77	215	1875	9550.69
12064000	642.67	215	1809	9574.44
12096000	643.31	217	1393	9598.45
12128000	757.77	223	2743	9624.25
12160000	667.68	215	1704	9648.91
12192000	649.26	217	1722	9672.95
12224000	643.1	217	1653	9697.54
12256000	694.06	218	1819	9722.21
12288000	702.24	218	1620	9746.84
12320000	692.49	217	1532	9772.22
12352000	690.06	218	1820	9796.19
12384000	668.7	218	2243	9821.15
12416000	613.97	217	1300	9847.88
12448000	635.43	223	1310	9873.92
12480000	623.44	217	1403	9899.22
12512000	681.57	217	1890	9924.74
12544000	682.13	215	2946	9950.12
12576000	604.97	217	1748	9974.9
12608000	718.35	217	2236	10000.16
12640000	669.23	222	1297	10025.12
12672000	671.57	217	1783	10050.59
12704000	658.85	215	1346	10077.55
12736000	661.59	217	1531	10102.03
12768000	623.35	217	2302	10127.52
12800000	663.44	217	1301	10152.62
12832000	659.42	217	1664	10177.91
12864000	670.0	218	1867	10203.18
12896000	671.33	217	2930	10227.72
12928000	639.31	217	1275	10252.47
12960000	659.58	218	1293	10277.89
12992000	650.47	217	1312	10303.57
13024000	667.59	217	1855	10328.42
13056000	677.76	215	1299	10352.81
13088000	655.26	217	2516	10377.98
13120000	707.57	217	1659	10403.5
13152000	731.81	215	1758	10427.73
13184000	662.09	217	1307	10452.94
13216000	679.03	217	1631	10477.84
13248000	677.69	217	1301	10503.38
13280000	687.66	222	2869	10528.41
13312000	628.05	218	2546	10553.74
13344000	654.22	222	1360	10577.78
13376000	647.44	222	1551	10602.62
13408000	579.06	215	1305	10627.98
13440000	614.19	215	1856	10652.82
13472000	663.88	215	2437	10678.96
13504000	709.34	218	1292	10704.72
13536000	598.27	217	1491	10729.73
13568000	661.25	217	1307	10754.96
13600000	692.8	223	1800	10779.82
13632000	623.87	218	1874	10805.21
13664000	693.47	217	1645	10831.78
13696000	636.0	218	1302	10856.4
13728000	625.13	217	1315	10881.38
13760000	632.57	218	1530	10906.71
13792000	666.15	222	1807	10932.21
13824000	614.89	215	1289	10957.25
13856000	585.83	217	1298	10983.04
13888000	624.37	217	1356	11007.87
13920000	661.18	222	2931	11032.27
13952000	680.44	215	1650	11056.95
13984000	605.8	217	1510	11081.06
14016000	684.72	215	2530	11106.44
14048000	636.1	215	2881	11131.88
14080000	695.11	226	2902	11157.92
