TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
32000	452.5	108	1211	26.41
64000	433.81	111	1169	52.87
96000	473.11	113	1406	79.21
128000	470.09	113	840	106.08
160000	440.04	111	1221	132.67
192000	459.4	105	1198	159.15
224000	397.46	111	883	186.01
256000	410.89	108	1022	213.35
288000	424.87	108	1017	240.9
320000	423.93	111	1652	268.08
352000	416.71	105	1185	295.41
384000	466.8	108	1169	323.2
416000	477.13	111	1014	350.64
448000	512.52	111	1196	378.32
480000	457.43	108	1213	405.79
512000	473.69	111	1204	433.06
544000	461.43	105	1081	460.16
576000	454.35	105	1211	487.54
608000	421.55	108	1028	514.92
640000	485.86	111	1019	542.37
672000	459.03	105	1209	569.87
704000	442.96	108	840	597.41
736000	435.82	108	1092	625.13
768000	425.96	105	991	652.75
800000	396.43	108	1078	680.14
832000	438.84	111	1147	707.9
864000	454.77	108	1114	734.38
896000	439.79	111	1080	761.05
928000	446.22	111	1084	787.82
960000	483.14	108	1064	814.64
992000	414.92	111	1202	841.82
1024000	452.62	111	989	869.35
1056000	422.47	108	1030	897.86
1088000	479.41	108	1174	926.14
1120000	463.07	105	1079	954.82
1152000	383.91	108	1175	983.75
1184000	429.88	108	1205	1014.26
1216000	416.57	108	1424	1042.44
1248000	455.39	108	1124	1071.8
1280000	444.07	108	1429	1100.5
1312000	500.35	111	1713	1128.9
1344000	428.14	105	1011	1157.92
1376000	489.94	111	1436	1186.64
1408000	490.01	108	1200	1216.3
1440000	462.81	105	998	1246.03
1472000	408.12	108	1024	1275.22
1504000	415.41	111	1201	1304.73
1536000	486.25	113	1027	1333.47
1568000	463.51	111	1028	1362.04
1600000	430.53	111	1026	1391.93
1632000	465.61	108	1025	1421.14
1664000	438.11	111	1010	1449.69
1696000	453.91	105	1170	1480.13
1728000	438.81	111	1008	1512.36
1760000	455.26	111	1069	1543.31
1792000	411.98	108	1022	1575.55
1824000	433.08	111	1210	1606.37
1856000	469.73	108	1072	1637.14
1888000	452.0	105	1007	1666.77
1920000	455.62	111	1682	1700.66
1952000	435.44	111	1085	1734.2
1984000	471.1	113	848	1764.98
2016000	409.26	105	1062	1796.08
2048000	439.91	111	1016	1827.21
2080000	469.04	111	883	1858.9
2112000	413.37	108	1373	1889.16
2144000	427.64	113	1020	1920.97
2176000	452.18	105	1059	1951.58
2208000	450.33	120	1003	1982.72
2240000	460.58	111	1205	2014.71
2272000	443.14	105	1077	2046.98
2304000	431.53	108	1063	2079.88
2336000	481.23	108	1084	2111.3
2368000	482.66	108	1216	2143.23
2400000	482.69	113	1075	2173.64
2432000	406.13	108	1193	2204.77
2464000	434.12	108	1001	2238.74
2496000	438.45	113	1010	2269.56
2528000	502.57	111	1018	2301.91
2560000	430.59	108	991	2333.46
2592000	446.3	111	1055	2363.54
2624000	445.74	105	979	2398.37
2656000	484.08	108	1086	2431.38
2688000	420.14	108	1215	2462.3
2720000	466.9	108	1211	2493.28
2752000	415.53	113	883	2524.11
2784000	466.4	108	1064	2554.99
2816000	422.09	108	1001	2586.41
2848000	436.21	108	1185	2618.33
2880000	438.0	111	1215	2650.85
2912000	484.81	113	1023	2681.41
2944000	489.0	108	1205	2710.28
2976000	416.57	108	1079	2740.89
3008000	451.18	113	1029	2770.52
3040000	408.86	105	1210	2800.52
3072000	441.95	111	1020	2830.39
3104000	513.57	105	1719	2859.47
3136000	448.57	108	1698	2889.78
3168000	435.83	105	1024	2919.76
3200000	418.02	111	1039	2949.88
