TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
32000	377.68	250	1295	29.67
64000	376.96	250	955	64.12
96000	394.11	253	1229	108.76
128000	384.67	242	1394	158.54
160000	373.78	242	1166	203.21
192000	375.24	250	1378	246.74
224000	361.94	240	971	297.21
256000	362.54	250	1280	347.34
288000	343.46	241	953	388.12
320000	359.49	250	1382	432.04
352000	369.77	241	941	480.6
384000	352.03	246	1138	524.41
416000	373.21	241	1069	571.59
448000	363.02	246	1163	614.4
480000	409.15	253	1397	653.17
512000	369.89	241	1328	679.72
544000	396.14	250	1224	725.73
576000	370.61	241	1073	772.9
608000	362.62	246	1409	819.54
640000	384.3	250	1418	860.95
672000	338.59	240	1185	905.21
704000	369.71	240	1217	948.61
736000	350.86	246	952	994.64
768000	377.13	241	952	1026.33
800000	379.48	240	1382	1069.7
832000	353.35	246	897	1111.74
864000	380.07	241	1236	1160.53
896000	371.51	250	920	1207.82
928000	393.68	246	1360	1256.55
960000	345.84	253	1039	1300.62
992000	365.13	241	924	1345.39
1024000	372.44	250	1179	1390.73
1056000	376.08	250	1216	1434.19
1088000	410.11	250	1367	1474.52
1120000	353.93	240	1309	1517.34
1152000	354.36	241	980	1560.31
1184000	357.22	250	942	1589.43
1216000	370.84	250	961	1637.15
1248000	408.76	253	1375	1687.06
1280000	366.35	242	1383	1734.72
1312000	359.37	241	921	1784.62
1344000	415.68	253	1338	1829.62
1376000	360.83	242	968	1877.21
1408000	323.4	254	829	1917.23
1440000	369.87	253	1318	1947.04
1472000	363.69	254	1306	1975.43
1504000	380.54	240	1379	2019.72
1536000	349.6	240	815	2069.23
1568000	362.52	241	1286	2113.95
1600000	387.52	250	1357	2162.43
1632000	369.92	241	1231	2212.35
1664000	353.42	242	1218	2260.94
1696000	378.85	246	1371	2306.93
1728000	363.35	240	934	2351.22
1760000	409.55	246	1334	2397.07
1792000	368.55	241	1241	2439.93
1824000	370.81	253	1357	2486.41
1856000	389.6	241	1392	2520.81
1888000	391.31	250	1278	2561.1
1920000	403.26	241	1388	2602.15
1952000	355.92	242	964	2644.54
1984000	367.7	240	1225	2686.05
2016000	354.9	242	1346	2734.14
2048000	376.3	241	941	2780.96
2080000	381.36	246	1335	2825.86
2112000	369.42	246	1404	2870.9
2144000	353.14	242	921	2919.08
2176000	355.85	246	1370	2948.06
2208000	351.17	240	1360	2985.63
2240000	388.22	241	1422	3032.45
2272000	370.35	250	948	3073.85
2304000	388.24	242	1358	3111.67
2336000	386.92	253	1387	3153.64
2368000	350.88	242	926	3201.19
2400000	349.65	240	1152	3252.61
2432000	354.7	242	936	3302.61
2464000	387.94	246	1382	3344.42
2496000	343.79	246	1350	3387.46
2528000	418.41	250	1340	3431.56
2560000	408.82	241	1364	3461.7
2592000	340.46	250	820	3500.39
2624000	380.6	241	1384	3544.64
2656000	377.41	240	1249	3590.72
2688000	356.12	250	1172	3635.51
2720000	369.65	250	891	3686.15
2752000	369.74	242	954	3734.41
2784000	345.55	240	948	3780.53
2816000	342.84	250	942	3826.75
2848000	365.71	257	1389	3877.32
2880000	393.5	253	1369	3916.78
2912000	372.79	253	951	3946.55
2944000	349.04	246	894	3983.04
2976000	383.82	241	1379	4021.77
3008000	361.73	246	1384	4068.54
3040000	337.62	246	929	4113.94
3072000	368.48	250	1193	4163.71
3104000	376.45	246	1349	4212.42
3136000	370.25	241	936	4254.56
3168000	373.93	241	1216	4299.28
3200000	363.72	241	1052	4343.02
3232000	394.39	240	1391	4373.2
3264000	367.0	241	1411	4416.5
3296000	396.63	241	1398	4461.32
3328000	348.82	242	938	4504.11
3360000	372.59	246	1372	4549.22
3392000	359.72	241	1432	4593.32
3424000	389.1	241	1191	4630.9
3456000	378.48	241	1392	4671.74
3488000	351.1	242	1221	4709.62
3520000	349.85	250	916	4756.2
3552000	358.21	253	885	4805.23
3584000	393.93	256	1400	4838.24
3616000	374.01	253	956	4866.73
3648000	330.49	253	972	4913.9
3680000	390.58	240	1394	4957.52
3712000	329.48	250	911	5007.22
3744000	370.58	250	1034	5049.11
3776000	364.29	250	1391	5091.62
3808000	379.37	253	1374	5139.83
3840000	342.41	241	925	5183.25
3872000	395.04	250	1388	5227.71
3904000	374.5	241	928	5266.24
3936000	370.51	242	1397	5301.66
3968000	422.78	240	1329	5348.02
