TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
16000	638.22	223	1282	63.09	0.40042844	0.3486006	3.5103517	0.0070024566
32000	561.14	217	1263	128.89	1.4134512	1.1752129	6.910117	0.10249477
48000	617.16	223	1388	196.67	3.0423207	2.7090442	24.70474	0.28523573
64000	700.38	218	1289	264.51	4.6583824	4.413578	41.987476	0.55348086
80000	646.94	223	1317	332.21	5.3620934	5.860317	37.59233	0.62254643
96000	787.26	217	1409	400.15	6.8223557	7.9516983	47.983025	0.5828945
112000	693.26	215	1317	468.35	8.356056	9.525856	76.22969	0.93733364
128000	669.68	223	1296	537.13	8.914551	9.884429	70.49582	1.1368787
144000	678.48	223	1406	605.57	9.658785	9.828662	78.6808	1.2279341
160000	643.9	223	1397	673.06	10.166625	10.03753	78.38852	1.3350345
176000	697.66	226	1541	740.58	10.415902	9.343154	63.361183	1.2739803
192000	602.46	215	1398	808.03	9.45707	9.369404	66.14449	1.1987487
208000	717.86	218	1407	875.28	8.219181	8.053794	53.295483	1.2181144
224000	649.66	215	1313	942.84	8.547541	8.435362	61.850655	0.79796696
240000	487.86	218	1305	1008.92	7.9062333	7.640696	50.474792	0.7724346
256000	532.48	223	1312	1075.44	8.479627	7.7628927	68.55816	1.0756625
272000	560.62	223	1402	1140.29	8.268123	7.300453	57.037193	0.8955341
288000	644.58	223	1320	1205.13	7.845748	6.5126286	44.915516	1.2081898
304000	507.7	222	1121	1271.16	9.140517	8.201718	57.22167	1.3961679
320000	398.96	226	1045	1336.08	8.67583	7.6061573	41.386646	1.5364325
336000	340.54	231	1037	1401.78	9.730232	8.608545	71.04974	1.3992279
352000	318.54	231	1016	1467.41	10.615313	9.27041	72.54587	1.4557861
368000	250.5	226	806	1533.04	11.716437	10.007008	80.97733	1.8622239
384000	314.3	231	1311	1597.91	11.933346	9.97756	73.529884	1.8228376
400000	427.04	231	1048	1662.4	12.035342	11.174776	79.23862	1.3374124
416000	442.06	226	1049	1727.64	12.731757	12.523397	126.85113	1.8548968
432000	432.06	231	1305	1792.28	13.134836	12.72653	104.33763	1.8615988
448000	376.7	231	1061	1856.92	13.054529	12.488221	94.55352	1.0835338
464000	393.5	226	1549	1922.4	12.568299	14.239352	126.8774	1.3411174
480000	373.12	226	1279	1986.32	12.177868	15.123488	127.732285	1.5865672
496000	641.9	226	1304	2053.23	11.274019	12.896346	99.12688	1.2315286
512000	727.64	226	1307	2119.8	10.625197	10.258246	85.84069	0.9252981
528000	581.58	226	1309	2185.7	11.565598	13.327205	136.2089	1.3836563
544000	748.4	226	1309	2250.67	11.151436	11.829499	86.29181	1.4417336
560000	881.46	231	1305	2314.94	10.129743	10.913659	109.78973	1.1908686
576000	788.7	222	1298	2380.78	9.94255	9.08497	70.120056	1.2983487
592000	790.92	553	1310	2445.3	8.478808	7.7406096	55.738823	1.3103237
608000	796.94	231	1304	2510.64	8.774455	7.664139	55.021194	1.311492
624000	674.62	231	1234	2575.97	7.8283777	6.759407	47.35125	1.0339702
640000	725.42	231	1307	2641.21	7.7123127	6.792128	45.854073	1.1420989
656000	773.4	217	1931	2707.38	6.6983914	6.068426	43.00373	0.71880317
672000	765.2	231	1646	2772.98	6.8844466	6.1303644	43.277214	0.88153714
688000	613.3	231	1859	2836.8	6.2511926	5.8606296	41.031666	0.86459947
704000	753.64	231	1310	2901.36	7.5314517	8.141153	69.29973	0.73368615
720000	733.4	231	1331	2966.61	7.9357786	8.78266	64.41354	0.95130646
736000	793.86	139	1400	3032.34	6.891577	7.6207905	52.227066	0.7235043
752000	723.3	139	1400	3097.94	6.206762	7.4139733	64.94792	0.6373274
768000	833.92	223	1539	3163.6	5.6356826	6.341105	42.956566	0.56655264
784000	807.28	231	1836	3228.02	6.313635	6.9457545	72.03982	0.7309279
800000	724.94	223	1550	3294.01	7.7216163	6.705956	55.89334	0.775173
816000	601.16	226	1541	3359.6	9.066403	7.471077	54.9934	0.8457894
