TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
32000	707.23	217	1811	23.53
64000	638.06	215	1311	46.62
96000	716.19	215	1829	69.5
128000	612.47	217	1665	93.17
160000	668.05	217	1592	116.65
192000	671.27	222	1296	140.61
224000	630.39	218	1390	164.55
256000	641.27	217	1612	188.16
288000	706.45	218	1776	212.7
320000	615.55	223	1699	237.02
352000	703.3	217	1624	261.36
384000	674.3	217	1625	285.48
416000	687.29	217	1630	309.3
448000	595.67	217	1796	332.75
480000	627.55	217	1877	356.62
512000	621.05	217	1887	380.66
544000	688.09	218	1378	405.05
576000	640.95	215	1551	429.61
608000	637.62	222	1319	453.88
640000	698.16	218	2582	477.96
672000	639.73	217	1385	501.56
704000	713.92	217	2574	525.27
736000	586.64	223	1388	550.53
768000	637.44	218	1516	574.52
800000	633.92	217	1577	599.45
832000	628.56	215	1481	623.86
864000	680.89	218	1520	648.49
896000	644.86	215	2804	672.46
928000	652.69	215	1889	696.44
960000	640.2	217	1786	719.32
992000	631.58	217	1575	743.6
1024000	674.52	217	1522	767.33
1056000	673.26	217	1792	791.67
1088000	683.59	222	1858	815.65
1120000	676.63	215	1840	840.02
1152000	671.92	215	1285	863.81
1184000	642.75	217	1642	887.76
1216000	690.0	218	2291	912.19
1248000	665.73	215	2955	936.18
1280000	719.51	215	1861	960.31
1312000	697.62	218	1300	984.17
1344000	631.64	217	2212	1008.94
1376000	688.89	215	1858	1033.52
1408000	678.3	217	1868	1058.39
1440000	657.95	215	1301	1083.51
1472000	657.34	217	1349	1108.57
1504000	661.48	215	2316	1134.01
1536000	641.55	218	1303	1159.47
1568000	658.85	218	1312	1185.26
1600000	600.38	217	1660	1211.36
1632000	662.49	223	1493	1237.97
1664000	657.46	215	1890	1263.43
1696000	703.13	223	1783	1289.68
1728000	627.98	217	1301	1315.39
1760000	704.3	218	1820	1340.16
1792000	647.32	218	2960	1364.73
1824000	702.53	218	1535	1390.28
1856000	614.11	215	1296	1415.55
1888000	645.05	223	1660	1440.49
1920000	665.25	217	1584	1465.12
1952000	661.32	223	1316	1490.41
1984000	700.91	218	1395	1515.39
2016000	638.11	222	1491	1540.38
2048000	621.73	218	1290	1565.34
2080000	679.83	217	1386	1589.82
2112000	686.9	222	1684	1615.76
2144000	609.75	215	1502	1641.01
2176000	724.63	217	2989	1666.03
2208000	606.74	223	1530	1691.87
2240000	668.81	215	1338	1716.85
2272000	598.7	217	1308	1742.05
2304000	624.19	217	1299	1767.05
2336000	678.84	217	1313	1791.3
2368000	587.85	215	1303	1817.16
2400000	697.63	217	1321	1842.2
2432000	631.08	217	1293	1867.06
2464000	642.41	218	1378	1891.86
2496000	605.88	222	1308	1916.94
2528000	666.22	218	2308	1942.48
