TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
16000	621.49	223	1298	49.88	56.02114705490405	33.90717763388673	262.15424	0.93750733	22.646180370469082	99.46575307167356	1921.3683	0.17716338
32000	596.97	215	1305	113.25	45.84765625	11.431611188935705	99.349724	30.607716	11.5908974609375	24.387022676005365	262.97015	0.2990297
48000	630.01	217	1328	182.08	45.4938359375	11.638827126261477	104.978676	27.952946	11.94405859375	22.294051897311085	178.51625	0.3056273
64000	639.96	217	2234	249.9	46.75695703125	8.092948802043665	83.70055	30.10831	12.17034375	20.774503604177887	114.57984	0.30247384
80000	604.37	217	1319	318.32	51.0275546875	14.599777930674152	155.93698	34.14538	16.6671484375	45.71240805295648	828.15924	0.25798577
96000	617.32	215	1294	390.86	45.14025390625	15.854339409921815	121.23222	31.296413	13.911357421875	33.460005977285775	462.86874	0.279357
112000	602.06	215	1300	462.84	49.30730078125	13.659677201530057	105.471985	30.401379	14.2741240234375	30.937349999636364	502.73175	0.26893714
128000	692.26	217	1307	534.69	66.3425625	60.38882553916743	676.65393	36.611885	53.685203125	378.9691491401378	6935.919	0.5495681
144000	608.82	215	1882	608.42	51.07699609375	7.782080026011683	70.82599	36.510033	16.69887890625	27.13595631261224	170.99126	0.5853093
160000	614.7	215	2275	683.7	51.29536328125	6.986576414811478	77.944534	40.449677	18.61308203125	29.81213259731682	195.40271	0.77211046
176000	662.5	222	2275	758.23	52.7166484375	11.57812390350872	84.151306	28.130009	21.26209765625	36.65926213114498	280.31607	0.7971306
192000	683.4	217	1640	832.81	53.8843125	11.313503408537958	93.14231	31.411375	20.876375	34.7108430465179	243.9687	0.9177489
208000	735.18	218	1548	907.47	55.2055703125	21.02579442613287	251.58954	25.477314	23.68557421875	59.20335927968953	1093.1443	0.64542305
224000	666.87	215	1413	981.78	52.08240234375	9.637400291313005	80.93974	31.921661	19.7707265625	34.29224402106109	357.56824	0.8299029
