TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
16000	244.19	218	498	57.47	0.10756363	0.09434408	1.0371077	0.011474298
32000	253.43	218	713	120.69	0.26273078	0.24226898	2.7764642	0.027514443
48000	252.46	218	511	185.54	0.70569456	0.50789213	4.9690146	0.07226108
64000	262.91	218	514	251.91	1.1179414	0.7895295	6.2693934	0.17900038
80000	269.72	218	651	318.8	1.4125288	1.1046475	10.782087	0.20990849
96000	287.44	218	859	386.27	1.5869588	1.395916	11.946351	0.14391433
112000	289.79	218	654	453.11	1.8903279	1.8935239	15.513575	0.2139936
128000	331.75	218	854	521.71	2.3897543	2.4962623	27.06991	0.24432223
144000	363.92	218	698	589.13	2.7500648	2.8956397	41.45818	0.30219918
160000	338.71	223	653	657.02	3.332084	3.3772395	30.752895	0.433929
176000	413.71	224	858	724.92	4.1924577	4.155359	42.853653	0.34754092
192000	491.76	224	864	790.64	4.78415	4.5053024	24.85353	0.29754066
208000	385.56	224	909	857.7	5.424133	5.6074014	35.794724	0.43541348
224000	446.92	224	876	923.63	5.9740305	6.018419	48.77272	0.28699028
240000	510.35	224	910	990.37	6.1251097	6.3420944	50.041847	0.36070257
256000	611.4	227	918	1057.31	6.3071094	6.104044	49.308598	0.41975147
272000	656.12	223	915	1121.97	6.3770266	6.5654297	44.76279	0.44879124
288000	668.67	227	898	1187.79	6.3954487	6.825721	38.288246	0.39018995
304000	670.64	227	896	1253.35	5.5082	6.1796393	52.394363	0.36992377
320000	593.72	224	899	1317.54	5.3615236	6.497134	43.185726	0.4697415
336000	538.97	224	1380	1381.18	5.4291024	7.7052298	72.62077	0.19463165
352000	556.2	224	896	1442.58	5.828999	8.063946	51.578205	0.29935053
368000	481.76	242	1476	1505.81	5.5851436	8.005646	53.364586	0.24043584
384000	531.79	227	896	1569.25	7.9836974	9.899958	75.74777	0.25172856
400000	703.02	224	1458	1634.55	7.4551516	9.155696	53.839634	0.18329787
416000	720.94	242	1235	1698.07	7.063553	8.3363905	56.452538	0.15546736
432000	731.02	352	1018	1762.08	6.298629	6.753996	38.223625	0.2078551
448000	721.05	225	1371	1824.5	5.747626	6.05716	45.69045	0.275805
464000	662.55	224	908	1889.15	4.8499894	5.328473	31.363462	0.32853603
480000	730.81	350	1356	1953.11	3.8831031	4.817066	37.648773	0.33578926
496000	755.45	224	1352	2018.57	3.3424401	4.0948043	50.434177	0.3782981
512000	752.96	224	1348	2081.24	3.1540663	3.2462087	26.448244	0.32874233
528000	746.01	224	1356	2144.78	2.9681783	3.7718952	35.926907	0.2902675
544000	755.43	224	1458	2208.88	3.0607674	4.1870885	57.410316	0.37753385
560000	775.15	224	1458	2272.83	3.5121083	4.16451	35.427597	0.32957685
576000	781.88	293	1355	2335.59	3.8776054	4.452965	36.989326	0.24187823
592000	730.98	227	1457	2398.52	4.09663	4.602366	50.116585	0.29718792
608000	698.55	225	1585	2461.11	4.148883	4.9481287	51.253387	0.28538144
624000	775.74	238	1585	2524.36	4.2976027	5.064977	49.271656	0.31532955
640000	805.13	227	1585	2587.66	4.746578	5.264043	44.150726	0.31413436
656000	841.38	242	1585	2650.66	4.670695	5.1737733	51.081665	0.38114023
672000	1087.44	235	1825	2713.18	5.296208	5.8022046	46.43936	0.42590398
688000	1152.22	235	1613	2776.83	5.836173	6.185103	44.34647	0.5849191
704000	1242.5	293	1810	2839.46	5.6149178	5.8092875	44.99563	0.55881536
720000	1137.37	231	1826	2904.02	5.60183	5.608422	53.518658	0.7345262
736000	1041.8	224	1847	2966.12	5.629976	5.283623	53.129745	0.7702408
752000	1202.96	223	1826	3029.51	6.017306	5.6696873	59.295166	0.8357232
768000	1214.5	242	1824	3095.26	6.164708	6.2751813	76.780914	0.8537104
784000	1240.0	224	1807	3159.5	5.910836	6.5532556	83.399666	0.81734306
800000	1203.93	223	1825	3223.09	5.7252755	6.5427403	51.611885	0.99376
816000	1175.46	224	1824	3287.25	6.4236875	7.409668	75.801315	0.897043
832000	1331.59	224	1825	3352.79	6.2142005	8.947864	103.51341	0.7286161
848000	1401.32	242	1824	3417.7	5.3386526	8.56011	96.906	0.79111975
864000	1395.86	489	1824	3479.96	5.6628065	9.576834	135.81387	0.748996
880000	1451.4	227	1825	3544.98	4.8041387	8.844099	116.80458	0.37983227
896000	1371.44	293	1750	3610.87	4.9670906	9.062346	102.7116	0.5882461
912000	1345.23	225	1825	3675.5	4.3717427	8.698351	123.48684	0.483544
928000	1155.54	218	1825	3738.71	5.1240206	11.396091	100.54654	0.37198323
944000	1340.94	230	2029	3802.23	5.294384	11.897792	121.30353	0.5030448
960000	1175.94	225	1825	3865.81	7.970609	15.136019	105.91764	0.48902953
976000	1285.53	293	2029	3927.79	7.4858894	14.217952	142.72104	0.4750718
992000	1290.81	231	2032	3990.75	8.451621	14.620121	118.23165	0.46084493
1008000	918.99	235	1826	4054.11	9.240256	15.925491	134.40947	0.39375198
1024000	1134.24	245	1825	4118.31	8.741807	14.00277	126.65262	0.51279896
1040000	1074.66	497	1825	4181.82	9.36673	14.5660305	114.4784	0.43201008
1056000	1180.78	231	1825	4245.38	9.6234455	13.797541	102.632706	0.6293548
1072000	1333.73	293	1826	4307.59	8.665243	12.842426	113.58034	0.38729522
1088000	1560.32	231	1826	4369.52	6.578534	10.489754	100.54327	0.58525956
1104000	1604.49	227	1825	4432.99	5.6290207	8.907942	71.22703	0.5412636
1120000	1684.44	647	1848	4497.8	4.628215	7.5131335	76.735916	0.5382766
1136000	1582.08	225	2064	4561.0	4.006226	5.902636	55.740623	0.4130258
1152000	1613.44	245	2028	4623.96	3.08168	5.118762	54.430588	0.382616
1168000	1520.24	227	2057	4688.33	2.5831432	4.3942695	45.460045	0.33472592
1184000	1476.35	293	2029	4750.81	2.8491802	4.8631535	50.711292	0.2907772
1200000	1527.88	231	2079	4813.38	3.439383	6.49329	94.678604	0.26991197
1216000	1498.55	231	2026	4876.5	3.4629009	5.3655586	58.31043	0.4505006
1232000	1405.85	227	2026	4941.2	3.5901034	6.890523	88.405014	0.34011495
1248000	1415.27	227	2027	5005.89	3.663183	7.3302283	78.92125	0.35392693
1264000	1576.38	245	2029	5068.22	4.4303865	8.088189	74.64557	0.43892795
1280000	1514.28	293	2029	5131.53	4.1741443	10.161135	164.3029	0.28725278
1296000	1392.91	498	2029	5194.15	4.5437427	9.051696	137.2023	0.33651286
1312000	992.92	224	2074	5258.58	6.1729846	12.109819	130.88844	0.3644277
1328000	1155.32	352	2028	5322.46	7.3909445	12.1086445	107.15307	0.35897022
1344000	1069.64	224	2029	5384.54	8.42166	16.195835	220.36115	0.32367182
1360000	1335.89	224	2299	5448.08	8.952939	13.719283	104.98628	0.32377115
1376000	1174.03	235	2299	5510.6	8.409907	15.757165	153.67285	0.3288781
1392000	1321.76	230	2063	5574.54	7.8998976	13.499668	149.9791	0.29523236
1408000	1592.31	235	2062	5638.23	6.354193	10.739761	131.87198	0.31395692
1424000	824.74	224	2237	5700.4	10.126942	18.966303	138.9933	0.42592898
1440000	1094.07	224	2162	5763.66	9.838647	15.659466	113.68356	0.45691657
1456000	1375.21	224	2072	5827.71	8.409433	15.111238	133.86505	0.3982132
1472000	1329.81	227	2064	5890.77	8.031286	12.907463	85.50076	0.3896948
1488000	1532.7	227	2084	5955.16	7.4900637	13.089405	105.67614	0.4244119
1504000	1590.89	230	2096	6017.16	8.565469	13.725348	115.218475	0.35805908
1520000	1287.48	242	2096	6081.48	6.7943153	10.608597	104.36453	0.30220315
1536000	1426.26	224	2091	6144.67	7.386277	11.389908	69.97244	0.28389972
1552000	1451.14	224	2091	6207.8	6.2341347	11.531568	127.319855	0.2650689
1568000	1130.5	230	2074	6270.73	7.216586	11.682983	103.17843	0.3327211
1584000	1362.46	230	2063	6335.93	7.5958996	11.642654	80.2909	0.3400295
1600000	1168.95	225	2061	6398.06	9.144969	13.525805	88.12373	0.3519984
1616000	1033.98	230	2088	6462.23	8.357016	13.1573925	85.660034	0.33456862
1632000	1233.18	230	2064	6526.58	8.895631	13.485661	116.85214	0.36181873
1648000	1276.64	293	2108	6589.75	10.147365	14.920231	115.973526	0.5027009
1664000	1251.97	497	2095	6654.93	10.579641	16.89445	177.19458	0.38880116
1680000	1294.34	293	2104	6717.56	9.373364	16.494637	110.14013	0.42076933
1696000	1253.6	293	2104	6779.75	10.882056	17.132826	118.25398	0.603525
1712000	1439.02	350	2091	6841.88	11.379099	18.011646	126.797	0.5256587
1728000	1385.6	350	2105	6905.77	9.708996	16.238764	165.17554	0.6010987
1744000	1464.44	242	2097	6969.46	9.694549	15.307205	127.93576	0.6715351
1760000	1511.67	293	2102	7031.17	7.9226832	13.870941	132.23941	0.5016827
1776000	1590.93	231	2104	7093.79	6.7623777	12.068549	110.1728	0.5185138
1792000	1254.31	224	2085	7157.46	6.1085606	13.135152	139.06767	0.42938578
