TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
16000	424.46	246	1039	60.74	0.3650075	0.2846418	2.123949	0.030273965
32000	382.72	246	1302	126.06	1.3726375	1.0675533	6.594921	0.114460036
48000	383.9	250	1229	193.39	2.8704329	2.2001083	17.051079	0.31005415
64000	377.9	241	1032	260.57	4.13937	3.175254	21.977043	0.44575632
80000	410.6	241	1186	328.55	5.2228527	4.600479	41.668095	0.4892145
96000	375.32	240	799	397.33	6.005327	5.302155	34.61945	0.7157168
112000	336.3	241	922	465.5	5.43605	5.16257	42.493576	0.5026257
128000	369.54	240	820	535.55	4.7460647	4.6852527	39.01735	0.4748551
144000	364.64	240	947	605.26	4.389034	4.0369115	38.887844	0.7075629
160000	345.3	240	1411	674.13	4.8743715	3.8085809	28.358273	0.8537421
176000	420.8	240	818	742.05	5.140429	3.261587	29.802795	0.5787002
192000	392.84	240	956	809.65	6.234016	3.8000329	27.802368	1.1147348
208000	437.82	240	824	877.48	6.5490127	3.8961344	27.063656	0.90194774
224000	433.32	240	813	944.47	7.0865498	4.4642067	55.07177	1.1253669
240000	391.7	240	1402	1012.2	6.717426	3.7520616	28.021318	1.1204181
256000	447.5	240	971	1079.14	6.745622	3.9199378	28.613293	1.1490399
272000	338.72	240	632	1145.35	8.083434	4.6792936	28.742811	1.6557137
288000	354.32	240	814	1212.88	8.511663	4.845722	28.84814	1.5548525
304000	363.18	240	554	1278.32	8.363995	5.527169	39.94458	1.4390957
320000	390.92	240	640	1344.55	7.9145265	5.547934	37.660915	1.2075636
336000	384.76	240	960	1410.35	7.5234995	5.591099	38.060722	1.2382002
352000	364.42	240	913	1477.63	7.770194	6.641562	54.07132	0.596653
368000	344.3	240	1253	1542.29	7.893561	6.2269406	36.323616	1.0345016
384000	504.9	240	1412	1608.08	9.149054	7.824619	54.78297	0.9097703
400000	340.18	240	1393	1673.9	9.462031	7.5912375	58.800774	1.0907047
416000	479.88	240	963	1739.96	9.043695	7.049377	56.837624	1.4272745
432000	333.16	240	738	1805.37	9.647772	7.0155725	50.814186	1.7422917
448000	430.26	240	916	1870.39	9.896613	7.531038	58.307377	1.5903678
464000	411.02	240	916	1936.13	10.752438	8.059531	50.898117	1.9990096
480000	466.58	240	961	2002.4	10.1781	7.500217	49.322823	1.1435692
496000	459.48	240	1063	2068.8	12.314475	9.1845665	55.33166	2.0068684
512000	454.8	240	967	2135.29	12.874773	9.147447	63.305275	1.803095
528000	491.58	240	1418	2201.91	13.1870165	9.111424	58.140896	1.7658395
544000	456.92	240	919	2268.0	11.804733	8.1505	54.01705	2.2196908
560000	521.54	240	1399	2334.73	10.636356	7.364531	66.01082	1.8131226
576000	528.04	240	1399	2399.66	10.489935	7.9636955	66.80347	1.6287868
592000	598.8	240	963	2466.59	11.639764	7.8615885	57.813217	1.8130302
608000	456.28	240	1082	2532.62	12.83202	8.986163	61.215714	1.7284545
624000	588.62	258	953	2598.12	14.233025	11.802334	132.48318	2.4637282
640000	620.74	240	1407	2663.88	16.438303	14.001509	107.18826	2.3206966
656000	616.42	258	1391	2729.39	16.436184	14.315631	140.18802	3.0345545
672000	543.84	240	936	2795.22	14.263463	11.679455	86.42886	1.7947894
688000	514.32	240	961	2860.88	13.557028	11.688569	78.25056	2.3394153
704000	654.98	240	968	2926.79	14.03918	12.259759	137.1497	1.8815222
720000	567.24	344	1252	2994.5	13.731775	12.220181	105.280655	2.3644423
736000	520.9	344	1250	3060.88	12.741099	10.374453	75.09691	2.1939049
752000	566.62	257	957	3126.86	11.094493	10.30812	110.0844	2.1937113
768000	564.98	257	1063	3193.54	10.577611	9.800899	76.999664	1.4885216
784000	495.08	263	1359	3259.39	8.650256	7.111932	80.45262	1.6932898
800000	508.52	75	961	3326.23	7.4639864	7.0579085	101.63475	1.3324828
816000	465.5	257	1038	3392.41	6.381125	5.9192157	61.72427	1.0181288
832000	590.34	257	1418	3458.15	6.0958743	5.3294096	41.885803	1.0596845
848000	530.62	257	1207	3524.5	6.570251	5.8496785	42.06915	1.0177927
864000	363.7	257	1152	3590.48	6.526226	5.616053	45.39764	0.86380625
880000	438.94	257	960	3657.04	7.228614	6.2690063	66.14167	0.94127786
896000	529.72	257	1150	3722.67	7.0436144	5.954736	44.402527	1.1482779
912000	539.0	154	1396	3787.71	7.99997	6.375777	43.982765	1.1733265
928000	549.4	257	1211	3852.63	8.082184	6.3706665	50.569332	1.3889451
944000	585.78	292	1424	3918.3	8.331513	6.684456	46.046436	1.1266611
960000	710.54	257	1378	3984.99	8.610699	7.16683	58.86761	1.2165507
976000	686.9	240	1365	4051.48	9.692639	8.426889	81.562386	1.3630013
992000	581.64	349	1247	4117.78	11.920167	10.408096	86.18647	2.0115972
1008000	731.0	361	1398	4184.92	14.688174	12.139172	114.145584	1.8438331
1024000	712.26	369	1399	4252.03	16.644823	14.523705	109.24202	2.2361326
1040000	777.58	257	1400	4318.95	18.70366	16.523985	158.38077	3.3064408
1056000	561.7	359	1374	4383.58	18.611786	15.436344	176.39536	2.4820995
1072000	725.66	361	1412	4449.23	17.913721	15.052424	169.92989	3.159957
1088000	726.54	361	1415	4514.68	15.719168	12.128062	106.86406	2.8325496
1104000	722.76	364	1422	4583.43	14.407842	11.128323	118.213684	2.5388556
1120000	796.84	257	1396	4650.05	12.997685	9.989362	136.9736	1.8901539
1136000	727.02	246	1404	4715.02	12.971175	11.303617	130.96143	1.8117085
1152000	733.62	257	1401	4781.18	11.272057	10.388744	136.86378	2.1197157
1168000	603.3	354	1380	4847.43	10.767984	8.088684	94.781746	1.8141822
1184000	713.16	257	1401	4913.01	10.611477	7.235424	57.037678	1.4885337
1200000	723.32	257	1406	4977.74	10.288153	7.410683	96.35473	1.8283172
1216000	829.42	377	1421	5043.33	11.459068	8.943921	104.91793	2.156187
1232000	829.52	257	1483	5109.92	11.330322	8.425539	122.51367	1.9434047
1248000	755.72	263	1487	5177.68	14.276263	11.296849	125.41513	2.057549
1264000	772.74	240	1403	5243.78	13.45973	9.570706	136.49876	2.4582853
1280000	830.52	257	1617	5309.71	14.343918	11.595027	209.58136	2.7353005
1296000	715.72	362	1395	5376.89	13.39172	9.433513	88.46237	2.3473196
1312000	803.82	374	1620	5443.62	13.12717	10.888772	112.198746	2.5027702
1328000	790.06	364	1585	5509.82	12.55397	9.726829	96.63521	2.3439667
1344000	850.84	257	1490	5576.15	12.71075	11.242619	112.39393	2.083681
1360000	710.0	267	1245	5642.69	11.398588	9.419322	84.13458	2.029062
1376000	788.44	257	1474	5708.18	11.825436	10.61182	108.97329	2.215238
1392000	883.86	257	1606	5774.05	11.6996765	10.57382	123.00578	2.0078933
1408000	578.52	263	1388	5840.69	11.177261	9.542571	74.60979	2.165921
1424000	819.74	257	1423	5907.49	12.076377	10.151854	104.87804	2.2713528
1440000	721.4	362	1263	5973.23	12.407326	11.268801	106.97739	2.06361
1456000	806.38	386	1584	6038.81	12.593756	10.174088	90.034775	2.3339362
1472000	914.34	257	1604	6105.07	13.143862	10.060747	115.519035	2.1260505
1488000	944.18	257	1427	6171.92	14.678804	13.389524	129.52092	3.0839896
1504000	906.9	391	1484	6237.07	14.782443	13.342078	144.82404	2.7287073
1520000	1072.94	378	1609	6303.2	13.59302	14.202287	170.95537	2.763204
1536000	994.66	257	1678	6369.87	13.330844	11.4008	151.26357	2.2506104
1552000	792.54	256	1614	6437.05	12.971869	9.639857	91.77466	2.3132987
1568000	896.94	263	1431	6503.88	12.122194	9.191764	91.79716	2.0306013
1584000	934.8	256	1427	6570.15	12.247237	10.66395	139.11542	2.243032
1600000	787.18	240	1490	6635.89	13.634234	12.520717	147.57716	2.550054
1616000	673.26	387	1478	6701.85	13.987034	10.565605	83.20872	2.6991308
1632000	1030.04	362	1430	6768.66	13.967537	10.334966	105.73603	2.5440564
1648000	902.42	258	1489	6834.96	14.518711	10.725952	91.805824	2.996557
1664000	1003.22	456	1491	6901.8	14.3515005	11.262147	102.74807	2.7332075
1680000	913.52	257	1430	6967.63	14.110433	11.551475	144.45154	1.9715378
1696000	1022.16	554	1490	7033.27	13.846119	11.58809	130.85736	2.4089787
1712000	1013.82	387	2116	7100.16	12.451475	9.843731	98.33709	1.8038559
1728000	1045.64	257	1615	7166.62	9.943498	6.9622016	61.06302	1.8657593
1744000	1054.2	258	1616	7232.71	9.473133	6.9673357	56.5632	1.3923553
