TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
16000	369.96	250	1030	62.35	0.34780392	0.25761178	2.203671	0.03247918
32000	398.5	241	1405	128.86	1.1752505	0.98691386	7.256751	0.12639175
48000	375.36	240	943	197.13	2.6370516	1.9160398	13.783627	0.25527126
64000	353.92	253	641	265.09	4.306757	3.3807976	26.09829	0.4242319
80000	404.06	240	957	333.05	5.428588	4.258921	31.823074	0.674276
96000	332.68	240	1194	401.31	5.6923065	4.669767	29.717655	0.5743371
112000	364.64	240	1248	469.84	5.839242	5.0362525	32.00303	0.4892031
128000	353.64	240	1470	539.77	5.110506	4.5408616	30.54847	0.53767794
144000	321.9	240	814	608.92	5.611794	4.7179666	31.772985	0.65394473
160000	404.26	240	958	677.9	5.5871096	4.8405895	37.87227	0.60800874
176000	354.26	240	817	745.62	5.7152596	4.149689	37.260822	0.651528
192000	403.18	240	1405	813.57	6.173213	4.337424	31.532349	0.67423177
208000	369.56	240	948	881.02	7.3954396	4.7356496	40.951393	0.874488
224000	414.56	240	1195	948.25	8.922183	5.6788716	51.491344	0.9775786
240000	404.42	240	951	1015.68	9.362747	5.9474034	53.593464	1.3751411
256000	440.58	240	924	1082.65	9.97108	6.570243	72.38717	1.6181673
272000	383.74	240	914	1148.79	11.35548	8.342994	98.86953	1.8183502
288000	414.66	240	917	1215.82	10.8314295	6.832344	60.41941	1.9080813
304000	418.84	240	959	1281.37	9.594729	6.7220545	55.223854	1.6062864
320000	389.66	240	807	1347.95	9.8140745	6.2488823	45.926903	1.8470602
336000	385.02	240	914	1414.02	10.846977	7.6018176	55.0239	1.5580332
352000	351.66	240	892	1479.64	11.092537	8.394411	65.2231	1.5006449
368000	368.72	240	730	1545.56	10.526697	7.9292965	53.210052	1.2622155
384000	363.2	240	899	1611.4	10.494404	8.233272	64.135376	1.7939533
400000	385.3	240	746	1677.12	10.015029	8.253395	59.281868	1.6052725
416000	342.5	240	808	1743.46	10.098373	8.106496	50.49203	1.4428921
432000	384.32	240	750	1808.65	9.60182	7.80879	61.945457	1.3396778
448000	374.64	240	906	1873.75	9.702647	8.464989	61.577065	1.8392491
464000	336.7	240	1470	1940.2	8.99713	7.399801	46.86844	1.3815088
480000	369.6	240	887	2006.02	9.567532	8.447833	52.3412	1.3058022
496000	433.24	240	812	2072.39	9.796994	8.942102	64.429184	1.1925268
512000	518.26	363	1087	2139.31	10.237239	8.972991	63.585075	1.8469329
528000	565.44	263	1179	2205.94	10.508471	9.054641	71.37807	1.6093056
544000	612.24	257	955	2272.42	9.219534	7.984865	59.51858	1.2255366
560000	560.02	240	960	2338.81	9.593691	8.613161	55.67266	1.631218
576000	580.56	240	1331	2404.64	8.080436	8.311662	61.29059	1.5178249
592000	530.9	338	955	2471.26	6.679967	6.5119524	53.725883	0.76591444
608000	484.92	259	835	2537.06	6.752792	6.6025615	44.784004	0.9978283
624000	495.34	240	798	2602.78	6.7270966	6.7299104	55.330116	1.0869868
640000	526.62	240	959	2669.02	7.898906	9.733816	65.30301	0.92077136
656000	547.38	208	1003	2734.45	7.4375567	9.618004	100.279816	0.961812
672000	583.08	208	1003	2800.5	7.0388007	8.685324	87.03682	0.82588077
688000	498.84	240	1300	2866.58	6.7308464	8.975587	76.99556	0.71820104
704000	459.56	149	1300	2933.32	6.4185753	9.342959	66.696526	0.47105452
720000	451.44	149	810	3000.19	4.261559	6.139111	66.310295	0.38341898
736000	528.76	276	889	3066.48	3.925409	6.069505	68.27858	0.5125574
752000	592.28	241	958	3132.58	4.9223127	8.160186	96.627846	0.619128
768000	565.16	263	913	3199.7	5.4058733	9.965107	144.19807	0.6389296
784000	441.04	130	1025	3265.59	5.3586907	8.643593	123.70902	0.5773951
800000	392.8	130	871	3332.31	5.133761	9.530318	147.72318	0.47054714
816000	389.8	70	912	3399.08	4.8756037	8.564335	118.916336	0.6018741
832000	498.86	106	977	3464.48	4.1277637	4.6469545	42.703465	0.51092076
848000	409.92	240	715	3530.54	4.2525373	3.937099	36.0626	0.69891626
864000	398.1	240	957	3597.38	5.3768916	4.638035	40.723656	0.90919924
880000	547.46	241	1409	3663.53	6.477266	5.210166	48.78072	0.96251094
