TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
32000	380.99	246	1230	29.69
64000	393.96	250	1036	58.01
96000	360.17	241	973	86.22
128000	392.74	246	1365	114.69
160000	348.21	241	955	143.38
192000	368.98	250	1302	172.2
224000	409.44	253	1451	200.11
256000	404.64	252	1374	228.5
288000	391.81	241	1360	256.66
320000	372.87	253	1027	284.87
352000	372.12	254	1217	311.23
384000	373.78	253	910	335.19
416000	357.26	254	1177	363.34
448000	364.67	253	1374	390.1
480000	355.99	246	1286	416.93
512000	346.81	246	1086	445.02
544000	395.99	250	1175	472.98
576000	361.37	241	1338	500.1
608000	403.15	253	1396	528.22
640000	397.23	250	1323	555.77
672000	375.61	250	1369	583.17
704000	352.33	240	889	611.17
736000	361.3	241	931	638.9
768000	385.24	250	912	667.58
800000	356.92	250	1417	696.43
832000	379.93	241	1390	723.14
864000	373.04	241	1262	751.1
896000	335.74	240	957	779.03
928000	396.45	241	1373	806.95
960000	369.23	240	1004	835.09
992000	364.89	242	1367	861.11
1024000	385.74	250	1391	885.37
1056000	382.47	241	895	912.63
1088000	383.02	241	1389	941.09
1120000	344.56	246	915	969.49
1152000	394.41	257	1351	998.4
1184000	379.01	240	1284	1026.28
1216000	387.16	250	1229	1054.05
1248000	383.05	246	1310	1082.26
1280000	354.7	246	896	1108.92
1312000	383.76	250	958	1136.24
1344000	417.18	250	1396	1164.1
1376000	416.13	253	1374	1191.69
1408000	410.82	241	1353	1219.03
1440000	345.3	246	944	1245.5
1472000	387.78	242	1194	1272.97
1504000	385.66	250	1391	1300.9
1536000	354.77	241	1372	1328.06
1568000	353.95	253	958	1356.19
1600000	383.58	240	1328	1384.28
1632000	351.43	240	941	1408.37
1664000	382.1	241	1403	1434.11
1696000	361.24	250	887	1461.67
1728000	383.65	250	1184	1488.97
1760000	331.96	241	805	1516.48
1792000	364.08	241	1380	1544.14
1824000	390.42	256	1363	1571.74
1856000	378.91	241	953	1599.56
1888000	363.98	250	1205	1627.0
1920000	369.44	241	1392	1655.67
1952000	356.61	250	1379	1683.94
1984000	370.74	250	946	1711.32
2016000	408.14	250	1234	1738.63
2048000	347.49	241	1224	1766.18
2080000	360.95	242	961	1793.89
2112000	381.37	254	1237	1822.13
2144000	363.72	250	1191	1849.71
2176000	365.83	250	1369	1877.33
2208000	386.13	246	1358	1904.51
2240000	405.09	250	1511	1930.01
2272000	400.54	250	1307	1953.53
2304000	363.19	250	945	1980.62
2336000	360.72	240	930	2007.39
2368000	383.08	250	1075	2036.09
2400000	359.91	246	1212	2064.73
2432000	351.53	240	946	2092.89
2464000	336.45	242	803	2122.08
2496000	362.83	241	1223	2150.65
2528000	361.33	252	1376	2178.94
2560000	386.34	253	1391	2208.04
2592000	353.23	241	1285	2236.39
2624000	383.42	253	1388	2263.64
2656000	372.81	241	1349	2292.0
2688000	390.79	253	1388	2320.14
2720000	372.68	246	1367	2347.22
2752000	381.02	241	1028	2374.81
2784000	342.21	250	1356	2402.81
2816000	374.46	241	1359	2430.32
2848000	375.06	242	1352	2455.8
2880000	368.76	241	1380	2479.7
2912000	355.46	242	930	2507.71
2944000	375.65	253	1411	2534.05
2976000	358.57	250	1261	2560.92
3008000	396.43	241	943	2588.56
3040000	368.48	241	960	2616.53
3072000	373.37	241	1053	2644.03
3104000	344.2	256	946	2671.39
3136000	371.04	240	952	2699.7
3168000	373.23	250	959	2728.3
3200000	375.06	242	1380	2755.84
3232000	374.45	241	948	2784.11
3264000	369.79	241	1362	2812.25
3296000	338.02	246	782	2839.89
3328000	366.75	241	1390	2867.58
3360000	389.3	246	1387	2895.63
3392000	361.33	241	1222	2923.92
3424000	343.3	246	1211	2952.94
3456000	385.91	246	1308	2979.74
3488000	376.71	246	1371	3003.94
3520000	355.5	240	917	3028.38
3552000	381.69	241	1378	3056.23
3584000	378.24	242	1283	3084.39
3616000	338.69	246	943	3112.47
3648000	371.19	252	1282	3139.64
3680000	368.72	241	922	3166.5
3712000	371.18	253	1057	3193.81
3744000	354.15	241	928	3220.13
3776000	404.03	253	1287	3247.28
3808000	349.92	240	1347	3275.84
3840000	379.81	242	1209	3303.99
3872000	360.4	241	1248	3332.36
3904000	369.66	253	1358	3360.82
3936000	404.71	241	1363	3388.91
3968000	346.97	246	908	3417.12
4000000	369.96	246	1377	3445.26
4032000	377.89	246	945	3473.51
4064000	352.9	242	938	3500.53
4096000	350.5	256	1218	3527.73
4128000	414.8	242	1415	3550.55
4160000	339.53	250	816	3578.18
4192000	367.61	246	1365	3605.68
4224000	377.93	246	1399	3632.76
4256000	378.46	246	1559	3659.12
4288000	345.7	241	1219	3685.5
4320000	379.63	252	1390	3712.52
4352000	357.04	253	640	3740.51
4384000	366.58	246	950	3767.85
4416000	369.8	246	1727	3796.02
4448000	368.88	241	1034	3823.74
4480000	374.17	240	943	3851.45
4512000	334.85	253	860	3878.45
4544000	373.67	250	1380	3908.13
4576000	371.57	250	1272	3937.51
4608000	403.1	246	1143	3966.18
4640000	393.08	241	1392	3994.14
4672000	406.03	250	1353	4021.7
4704000	384.76	253	1240	4050.05
4736000	346.75	241	1232	4074.47
4768000	397.69	246	1401	4100.75
4800000	380.72	250	1389	4129.36
4832000	374.12	246	1358	4158.14
4864000	349.11	246	1050	4186.85
4896000	384.12	241	1341	4215.85
4928000	379.31	241	1339	4243.04
4960000	355.45	241	963	4270.15
4992000	401.8	253	1369	4297.57
5024000	391.49	246	1492	4324.71
5056000	393.96	253	942	4353.39
5088000	368.29	241	1019	4382.67
5120000	376.65	246	914	4409.97
5152000	368.13	246	952	4437.78
5184000	366.07	250	1245	4465.42
5216000	344.3	241	912	4493.0
5248000	350.7	250	945	4521.23
5280000	361.92	246	920	4549.61
5312000	386.77	241	951	4577.35
5344000	390.06	246	938	4604.6
5376000	373.58	250	985	4628.25
5408000	359.09	246	907	4654.51
5440000	349.21	241	1219	4683.32
5472000	358.7	250	1346	4711.6
5504000	357.34	241	1292	4740.31
5536000	373.25	246	1540	4769.13
5568000	371.45	241	957	4797.96
5600000	380.62	250	1366	4825.05
5632000	365.88	253	1341	4852.77
5664000	371.18	241	1344	4879.89
5696000	367.89	246	840	4908.02
5728000	371.88	253	909	4935.14
5760000	395.12	250	1230	4964.41
5792000	341.95	241	1042	4992.65
5824000	349.22	241	1152	5019.68
5856000	367.36	241	1181	5046.66
5888000	331.12	241	975	5073.46
5920000	381.03	250	1220	5102.2
5952000	343.76	250	939	5130.43
5984000	367.98	256	1394	5157.03
6016000	331.47	241	898	5180.91
6048000	330.0	241	803	5208.7
6080000	393.53	241	1398	5236.98
6112000	393.53	241	1381	5265.58
6144000	362.31	250	1350	5294.13
6176000	377.32	241	1155	5320.4
6208000	351.79	253	1372	5348.93
6240000	374.59	246	1331	5376.45
6272000	367.58	246	1014	5403.08
6304000	408.89	242	1391	5429.26
6336000	387.81	253	1382	5455.81
6368000	375.59	250	1374	5482.63
6400000	372.1	253	953	5510.15
6432000	371.58	241	962	5536.43
6464000	389.47	241	1410	5563.73
6496000	358.06	241	961	5591.36
6528000	373.85	240	914	5617.09
6560000	348.5	253	1177	5644.25
6592000	375.08	242	1395	5672.55
6624000	386.05	241	1363	5700.01
6656000	364.23	250	1056	5722.88
6688000	373.59	253	1037	5748.27
6720000	364.38	250	883	5775.74
6752000	390.74	246	1380	5802.73
6784000	389.91	246	1392	5830.06
6816000	391.99	253	1050	5858.63
6848000	395.81	241	1407	5887.0
6880000	374.92	250	1232	5912.59
6912000	367.33	246	1379	5940.04
6944000	372.97	241	1039	5966.84
6976000	391.55	250	1180	5994.29
7008000	376.24	241	1231	6021.36
7040000	349.76	241	839	6049.02
7072000	398.84	241	1381	6077.03
7104000	395.13	240	1386	6104.99
7136000	355.86	253	948	6131.58
7168000	389.41	241	1405	6158.5
7200000	396.31	240	1366	6187.45
7232000	356.28	246	1379	6215.33
7264000	354.67	241	1199	6242.52
7296000	350.93	241	961	6269.93
7328000	339.93	241	1397	6292.71
7360000	398.02	250	1192	6320.12
7392000	373.36	250	924	6347.73
7424000	393.31	250	1339	6374.82
7456000	360.93	250	1305	6403.21
7488000	395.44	241	1325	6429.88
7520000	338.74	250	937	6458.69
7552000	387.4	246	1217	6485.62
7584000	381.4	242	955	6512.64
7616000	369.52	240	1350	6539.34
7648000	348.88	241	886	6567.3
7680000	352.22	240	1224	6595.99
7712000	360.24	242	1564	6624.55
7744000	377.69	253	1349	6652.5
7776000	384.32	253	1383	6679.71
7808000	387.23	241	1359	6705.57
7840000	363.77	240	1370	6733.58
7872000	360.03	240	1034	6759.51
7904000	369.47	250	1391	6786.15
7936000	359.77	253	1381	6814.11
7968000	374.7	241	1169	6839.72
8000000	357.8	250	953	6864.17
8032000	373.3	241	1594	6887.49
8064000	376.36	246	1349	6913.58
8096000	358.42	246	946	6940.64
8128000	370.72	241	1355	6967.61
8160000	379.84	242	1236	6994.47
8192000	371.07	250	1380	7021.17
8224000	361.66	250	901	7046.81
8256000	360.61	246	921	7073.95
8288000	392.01	241	1339	7101.64
8320000	356.88	241	907	7128.57
8352000	365.4	246	1333	7155.01
8384000	372.54	241	1218	7182.32
8416000	381.49	253	1360	7210.92
8448000	369.4	240	910	7239.06
8480000	373.33	241	919	7266.31
8512000	364.54	253	916	7294.32
8544000	377.69	253	1342	7322.26
8576000	370.61	241	1361	7350.24
8608000	374.02	240	1332	7379.01
8640000	398.0	241	1366	7407.85
8672000	346.77	240	1288	7433.05
8704000	353.26	240	1338	7459.01
8736000	345.53	246	931	7487.19
8768000	385.91	241	1329	7513.69
8800000	360.71	250	1375	7541.48
8832000	341.41	253	951	7569.04
8864000	372.62	241	1383	7595.38
8896000	399.28	246	1351	7621.7
8928000	353.72	250	1394	7648.61
8960000	367.14	250	931	7676.39
8992000	380.32	242	960	7704.26
9024000	362.49	250	948	7732.17
9056000	362.02	241	1312	7759.03
9088000	356.13	241	1004	7786.3
9120000	352.8	250	948	7814.66
9152000	382.9	241	1355	7839.72
9184000	403.26	253	1377	7867.06
9216000	371.72	241	944	7893.78
9248000	399.31	246	1398	7921.3
9280000	371.83	242	1354	7946.9
9312000	356.19	250	1030	7975.22
9344000	363.43	246	1364	7998.72
9376000	367.82	254	1392	8026.27
9408000	349.35	241	916	8054.41
9440000	352.56	250	1310	8082.59
9472000	383.77	250	930	8111.29
9504000	356.62	246	1323	8136.66
9536000	373.66	253	1392	8163.5
9568000	415.98	250	1400	8190.27
9600000	386.92	252	1372	8217.46
9632000	375.76	246	1338	8244.87
9664000	362.01	250	1049	8270.85
9696000	341.68	246	782	8297.54
9728000	393.19	253	1387	8324.66
9760000	379.97	246	1232	8351.91
9792000	349.21	241	1053	8379.18
9824000	393.23	250	1223	8405.94
9856000	369.3	241	1331	8433.29
9888000	378.49	240	1407	8461.01
9920000	357.57	241	967	8489.57
9952000	380.94	242	1350	8517.07
9984000	343.02	241	1356	8540.5
10016000	367.59	241	1303	8567.08
10048000	357.93	253	886	8594.5
10080000	357.23	241	979	8621.53
10112000	340.02	242	826	8648.65
10144000	345.63	241	929	8675.81
10176000	356.66	241	1222	8703.13
10208000	355.73	250	811	8730.49
10240000	359.74	240	964	8757.27
10272000	367.84	253	1190	8783.94
10304000	378.58	246	1334	8810.39
10336000	385.43	250	1197	8836.22
10368000	371.85	250	1194	8863.47
10400000	398.41	241	1339	8891.58
10432000	374.15	240	899	8919.24
10464000	357.31	241	1032	8945.76
10496000	374.27	241	1367	8972.85
10528000	386.6	241	1358	8998.94
