TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
16000	675.82	222	1874	69.2	25.072692480676974	12.06424367624196	42.07823	1.0118283	3.6293609554071162	8.208864786766807	85.78871	0.018453183
32000	631.56	215	1874	143.5	47.721828125	3.5468664647474397	56.065792	39.662613	11.4581982421875	19.014457492918382	123.34378	0.35208476
48000	644.38	215	1511	217.96	53.53554296875	3.345747942818616	64.031425	45.20979	19.250712890625	34.07819133991708	221.77464	0.81356657
64000	716.92	223	1769	290.94	43.6174453125	5.209773904942996	61.741673	31.148033	13.40189453125	25.25324731593939	262.85696	1.0736251
80000	620.79	215	1389	366.53	42.94994921875	4.178110274843162	52.66603	31.406197	14.3893193359375	23.271858004895098	152.87073	0.80956304
96000	651.35	215	1673	441.92	38.90500390625	2.891841298161087	48.588127	31.293495	11.8737138671875	20.233125685370513	149.4364	1.034606
112000	620.69	215	1673	515.83	45.0746796875	2.8823889424616174	55.2033	37.3219	14.2830703125	24.050322243163397	157.24821	0.7920498
128000	753.14	217	2978	588.18	44.0716796875	3.51778516967708	53.443466	31.140238	13.216900390625	22.0470689661914	171.66606	0.82654005
144000	658.08	222	1302	660.89	34.87688671875	2.705820549066401	44.566654	27.952955	9.425880859375	14.474968695993784	93.54863	0.5652808
160000	663.1	222	2991	733.63	39.27671484375	4.369947975948913	51.114613	28.952986	9.9546416015625	14.799582975543602	86.020134	0.58119816
176000	664.3	217	2991	812.01	44.10992578125	3.053622016863744	51.94757	33.7454	11.6321279296875	17.023175379464313	136.7194	0.81196916
192000	699.3	226	1670	886.32	44.1010859375	3.2464340412789845	53.700005	34.671143	10.31567578125	16.010283804480167	136.69038	0.6708714
208000	596.23	218	1410	958.93	41.8284375	4.085627677068115	52.181458	30.865898	10.7047021484375	15.444278876011012	113.12477	0.5707282
224000	728.36	223	1815	1033.54	36.246515625	4.084092138254229	47.302254	27.049473	8.7337021484375	11.717155558197561	102.01601	0.47568166
240000	638.67	222	1369	1107.64	43.01102734375	2.461638888144441	51.54869	35.774384	11.107953125	14.51096675793863	88.92257	0.7421497
256000	706.5	215	2585	1183.07	40.92016015625	3.8571088994867644	53.158646	31.464924	11.1985546875	14.118291548555016	110.80825	0.5550921
272000	698.67	215	1550	1262.89	40.256859375	3.8583509521960933	51.449783	30.838867	10.54356640625	14.06590847581485	97.17002	0.5303094
288000	645.93	218	1289	1341.28	43.2487109375	3.64806616150941	53.989525	34.286102	11.935677734375	15.91562469320636	165.76906	0.5421433
304000	654.14	217	1318	1417.89	41.7057734375	3.2563168779120684	53.06819	33.52739	11.277623046875	14.28900254566427	88.60748	0.72718406
320000	617.0	215	1392	1490.53	44.0894765625	3.5517988950143278	52.207115	32.233665	11.724375	14.988741608287201	115.12059	0.5947732
336000	676.84	217	1314	1567.59	42.95859375	3.146182893106343	55.75244	35.221176	12.01109765625	14.741636400006616	106.14079	0.78142476
352000	677.44	215	2304	1641.43	47.07262109375	2.776883774322172	55.53119	38.90638	13.44045703125	16.812897764811396	124.08212	0.8460816
368000	671.79	217	1310	1716.11	40.8561171875	2.2496321313855963	46.69556	33.64828	10.6447060546875	12.31861333003841	101.87166	0.7844822
384000	686.29	217	1320	1790.18	40.4018359375	2.155878364712977	47.60221	33.916355	9.947283203125	11.728461642517317	86.032196	0.9335934
400000	665.33	217	1405	1865.41	43.79548828125	4.231487022534159	53.12125	32.95343	11.20386328125	13.952999789471797	102.99109	0.87809515
416000	707.02	218	1393	1943.51	47.467890625	3.086733046189369	56.520767	38.717514	12.973931640625	15.358367019315562	110.22017	1.0017844
432000	705.36	217	1314	2016.53	43.5199140625	4.3790760030656015	56.852066	35.51529	10.62784765625	13.190829555983202	87.30443	0.9345536
448000	604.33	217	1810	2090.55	38.1565546875	2.2447302654982293	43.972015	30.342289	8.6590595703125	9.585319178305957	56.114445	0.8649877
464000	641.67	215	1370	2165.04	42.92365234375	3.692008366898699	52.4431	34.818363	10.71965234375	11.457808472827603	73.559135	0.8857577
480000	720.0	215	1407	2247.36	43.80164453125	3.723291082412843	53.39293	33.899384	10.93751171875	12.538434661073127	101.61283	0.9889965
496000	711.54	217	1821	2323.3	37.47690625	1.9632647420217235	43.467884	31.993391	8.299900390625	8.365605738677864	59.838726	1.0056773
512000	707.63	223	1892	2400.87	39.427859375	3.0019315071196244	50.26211	32.910297	8.972576171875	9.219898233576117	93.841446	1.0253487
528000	676.09	218	1402	2483.51	51.4639140625	3.409353230911253	59.67627	42.099205	13.09237890625	14.268912887813142	115.137665	1.4371383
544000	695.13	215	1406	2564.97	43.89673046875	2.936171907220352	54.029778	37.323578	10.3290546875	10.499918526469623	93.590744	1.1925168
560000	622.16	217	1636	2649.31	39.002671875	2.3107764903342014	46.782505	33.335896	8.92810546875	8.585985583350347	55.290302	0.94312346
576000	767.16	217	1874	2733.0	40.8695859375	3.348418178315695	49.61922	31.852041	9.07705078125	8.204928016137618	51.227413	1.1622909
592000	710.49	217	1857	2817.9	40.74332421875	2.9120297031774074	47.766083	32.845547	9.5508115234375	9.210396215011599	74.392525	0.9789447
608000	670.28	217	1312	2896.02	37.009015625	1.9918784686783415	43.62447	29.479797	8.40287109375	8.699582874339436	73.579346	1.0474107
624000	625.09	217	1306	2981.03	40.8436171875	3.603994772514591	49.6557	29.910313	9.6113828125	9.766485262109395	83.53578	1.0838045
640000	621.22	222	1883	3063.11	40.483171875	1.920870354792815	46.387726	34.245094	9.356189453125	8.830939042649995	84.743126	1.3854635
656000	698.99	217	1311	3149.07	41.550375	2.34906376795895	50.05598	34.234024	10.231431640625	9.86181556560454	68.448715	1.2379016
672000	641.29	218	1663	3235.62	38.85053125	3.086997998156947	48.37162	29.835215	9.40570703125	9.269325673289293	78.59958	0.91744447
688000	635.09	217	1528	3317.36	42.303578125	2.087040087809767	49.087334	36.27325	8.96619921875	8.954226481109353	67.41983	1.2121178
704000	566.65	231	1309	3402.93	40.14643359375	2.2543553766126805	48.757202	30.622417	9.18570703125	9.430583144084993	85.52389	1.1663146
720000	643.31	223	1388	3487.77	38.80888671875	2.0969613898001316	46.508194	30.44051	9.296876953125	8.859209985235703	62.99887	1.0348356
736000	579.09	223	1399	3571.6	38.059859375	2.450270034544662	44.539368	29.475206	8.72208984375	8.546888139843647	91.44999	1.039088
752000	616.42	217	1657	3661.12	37.55440234375	2.462347711027019	45.046516	29.712517	8.662806640625	8.7042994046046	59.70799	1.0969598
768000	595.81	215	1530	3744.02	34.28812890625	2.3748246234590673	42.18798	26.663902	7.4595400390625	7.23644881183098	46.12605	1.017826
784000	601.11	215	1645	3846.66	33.95460546875	2.5605791199819428	42.37595	27.45861	7.674734375	7.410089194807306	68.66002	1.0904899
800000	615.77	215	1667	3937.18	33.9445390625	1.8983461912198074	39.374084	28.146492	7.36744287109375	7.223997821930043	51.828213	1.1831368
816000	676.5	217	2282	4025.12	34.5736015625	1.9996095810338828	42.20854	28.474854	8.62848046875	8.33120123766675	58.723927	1.0397754
832000	618.22	217	1885	4110.6	38.31287890625	2.119671858817421	45.016026	30.072674	9.734876953125	9.579425380731351	74.67096	1.0602257
848000	600.0	217	1874	4207.92	42.36657421875	3.481747608062652	53.157745	34.160976	10.7837666015625	11.166960544951342	97.28325	1.1096574
864000	636.24	218	1890	4296.58	39.88248828125	2.278545485885678	47.07601	32.157364	10.1726845703125	10.240703100861776	70.47169	1.0253128
880000	645.18	215	1314	4386.99	40.2741953125	2.1440456246603055	47.85675	34.278793	10.563517578125	10.346108114890352	81.70549	1.4114411
896000	612.1	218	1389	4470.56	37.8331484375	2.888615010638749	46.614418	30.004356	8.4528095703125	8.496778801404682	71.08066	1.0327334
912000	662.56	217	2246	4555.95	37.3727890625	2.479135591541939	46.43577	31.427761	8.609759765625	8.372911120094374	52.77601	1.2266215
928000	557.57	215	1310	4639.23	35.5812890625	2.3426357768147614	43.057003	27.254704	8.004310546875	7.718099922017724	52.117683	1.0211891
944000	607.8	223	1481	4725.56	31.64908984375	2.1744660802999434	39.17926	25.106438	6.967080078125	6.976622795092193	56.984905	1.0117884
960000	608.76	223	1547	4818.01	31.487552734375	2.256206933453246	41.27166	24.149794	6.9611025390625	6.541033043889168	50.178795	1.1665941
976000	597.32	223	2304	4900.01	31.796744140625	3.9536427526554543	41.172726	22.164429	7.10885791015625	7.171681506104409	75.82336	1.3155552
992000	610.68	217	2284	4985.93	34.74971875	2.3043334473809884	42.908836	28.077482	7.91390966796875	8.32567001808263	63.968502	1.1928773
1008000	653.34	217	2303	5071.68	34.81711328125	2.3480541728072417	43.183506	26.191483	7.4876103515625	7.910970922554323	55.579308	0.81323993
1024000	609.81	218	1484	5148.99	29.7351796875	2.2459404567254784	37.03682	23.173859	7.0352705078125	7.0872525309530205	50.703243	0.88982666
1040000	632.73	223	1484	5230.87	33.27696875	2.976613270564384	43.434757	26.254227	7.7801796875	8.765490306451772	85.74541	0.9840056
1056000	552.03	223	1314	5313.25	35.661953125	2.133106092430121	41.89771	27.834946	8.32869921875	8.290703095184389	61.397614	1.217869
1072000	610.42	223	1508	5393.84	33.612421875	2.5531360923871644	40.434616	26.34852	7.948619140625	7.922549650759533	54.50715	1.1576405
1088000	569.82	223	1376	5476.28	35.41759375	3.0868165678312502	44.40541	27.396952	9.133154296875	9.613122135263861	70.14487	1.2926941
1104000	619.05	223	1308	5553.19	33.4940625	2.8740052626952513	41.188416	24.797438	7.643763671875	7.649303481363515	59.297176	0.80487525
1120000	630.54	223	1299	5633.65	34.12437890625	4.213969513712694	47.962284	25.329617	8.498912109375	9.221958763597895	82.82994	1.1934967
1136000	557.49	222	1406	5717.1	42.45284765625	2.2046608122055873	48.994816	35.358784	10.651302734375	10.577747869939046	77.53976	0.90527654
1152000	691.91	223	2313	5807.0	37.41722265625	2.164822745522425	45.278507	31.821424	9.003001953125	9.24341235015511	99.35538	1.1043122
1168000	711.87	223	3014	5885.79	33.340515625	2.7329204166799754	41.97597	25.377914	7.85850927734375	7.409455793528294	67.076225	1.2472289
1184000	648.63	223	1288	5962.94	35.40682421875	2.1910426670309278	44.068687	27.803734	9.006798828125	7.823920402761649	55.950108	1.3330877
1200000	632.18	222	1296	6045.63	31.918814453125	2.7566712404864315	41.334606	23.834507	7.6014052734375	6.333780960058534	51.030144	1.0911808
1216000	612.84	223	1399	6136.65	34.393171875	2.1745289540208472	41.019455	27.629719	8.6038203125	7.568861993391081	55.21011	1.1789931
1232000	611.53	223	1304	6226.22	37.09934375	2.0088678525050185	43.14026	30.568285	8.62003125	7.403425094170941	51.80622	1.4007871
1248000	662.79	218	1315	6306.11	35.1436796875	2.2008705220179356	41.28928	27.44096	7.87257373046875	6.729003803498702	55.148857	1.2228148
1264000	630.24	217	1314	6392.24	35.30184375	2.336921510970683	42.72833	28.769955	7.92996875	6.513880012135624	56.740406	1.2154706
1280000	651.11	218	1417	6471.44	33.89523828125	2.072851862471122	41.060608	28.580545	7.21912451171875	6.025359493943079	62.20391	1.1673689
1296000	661.55	222	1613	6549.84	31.511591796875	2.3270702308643374	39.813145	23.886812	6.69829052734375	5.679046602423685	49.772892	1.0530803
1312000	602.71	223	1315	6632.85	33.95900390625	2.2858064513017062	41.604813	26.731724	7.19707373046875	6.291261921307997	58.689034	0.9473597
1328000	610.04	223	1299	6721.05	31.781908203125	2.2808820336796245	37.74147	22.647442	6.336076171875	5.2316408904138285	64.917656	1.0060099
1344000	632.65	222	1666	6798.95	32.3170625	2.3899324977392142	39.38328	25.374392	6.96708984375	6.338361627818343	47.360046	1.3441098
1360000	658.85	223	1801	6886.29	33.5404453125	2.5209117584219403	41.41041	23.709307	6.86200244140625	5.62377104630425	39.61858	0.73595047
1376000	683.95	223	1801	6970.75	35.58960546875	2.1179174249129735	44.585617	28.88526	7.44908984375	6.588875567955431	51.711178	1.0738993
1392000	683.01	223	1314	7049.93	36.01929296875	2.4306900062019428	43.759644	28.9198	7.78074658203125	6.362736365943508	64.462944	1.1949996
1408000	719.91	223	2219	7132.03	38.5117890625	2.8360692979015867	48.35105	29.496372	8.0412255859375	7.230623352277451	76.70302	1.1241028
1424000	654.26	222	1326	7220.2	34.1544609375	2.3375978630917786	42.12182	27.659613	7.328482421875	6.388441099947623	60.765034	0.9814483
1440000	700.79	223	1876	7305.74	36.5883671875	2.908531866283658	45.719986	29.068838	7.56032275390625	6.391442032123893	53.47856	1.2726557
1456000	673.71	222	1402	7388.07	39.99744140625	2.42081226683318	48.217987	33.445522	8.1964287109375	7.329354241251408	80.528076	1.107312
1472000	675.44	217	1397	7467.98	42.71918359375	2.3087686323354815	50.402878	35.67777	9.083990234375	8.668722061959306	70.43904	1.6030656
1488000	667.96	217	1320	7552.63	43.2869921875	2.2552274344841585	50.577976	35.617073	9.409162109375	8.352588015848742	72.87781	1.6543537
1504000	692.37	223	1887	7641.35	41.2325390625	2.1901296693917462	48.812466	33.905254	8.902564453125	7.84866479488709	73.87369	1.5777059
1520000	702.15	215	1827	7723.94	40.300421875	2.1271796037021065	47.22631	33.49537	8.09788525390625	7.224675057571793	66.11071	1.373428
1536000	665.05	223	1658	7815.61	43.357203125	2.682274352694929	52.425323	34.896362	9.349447265625	8.182815931114423	66.53432	1.6015856
1552000	753.29	223	1883	7898.31	44.2936953125	2.7100786643910357	52.66246	36.614944	9.9574921875	8.989903190524355	77.36556	1.2349464
1568000	710.98	223	1656	7985.55	44.2896015625	2.453138933081451	51.759163	36.83207	10.189052734375	9.936242451877872	126.48546	1.6463721
1584000	691.46	217	1308	8071.12	45.2652734375	2.950510085667392	54.386875	37.666485	9.430615234375	8.342357093471843	68.48144	1.2846378
1600000	675.28	218	1822	8152.59	47.09907421875	2.307707660956539	54.686115	39.125473	10.055837890625	9.694941496729106	72.91178	1.65119
1616000	711.61	223	1320	8232.45	47.225421875	2.2871396574105396	54.636856	39.60295	10.42292578125	9.715837586127096	81.23839	1.39489
1632000	697.86	223	1666	8304.02	45.9956640625	2.179672154963906	54.44947	38.971863	9.501380859375	8.359209928276714	68.634964	1.4665613
1648000	777.46	226	2437	8375.25	46.738140625	2.373274661135432	54.84715	39.040115	9.173748046875	7.836821392072809	58.615997	1.1349475
1664000	758.49	223	2829	8447.23	49.286015625	2.981849716933266	60.89692	41.63607	10.29086328125	10.53974397815241	95.95646	1.2006564
1680000	641.41	223	1296	8519.33	49.512984375	3.329251276563546	60.41602	39.90693	10.74337890625	10.092020362642954	77.14202	1.1398858
1696000	737.18	223	2992	8592.2	45.79259375	2.355728141811996	53.612434	38.800953	10.303162109375	9.705708693856415	91.77482	1.0450335
1712000	739.95	223	1884	8665.23	45.44339453125	2.4374986979163187	52.514965	38.445065	9.58484375	8.826621221481071	67.56636	1.1903111
1728000	665.55	222	1550	8737.7	42.50478125	2.139087951820822	48.191227	36.137463	8.3535673828125	7.58489195292194	59.14568	1.1302147
1744000	716.25	223	1309	8809.14	42.29025390625	2.4529946223315493	49.720127	35.356598	8.537818359375	7.612613658839519	68.791756	1.0404525
1760000	747.33	222	1668	8881.34	46.64735546875	3.304814344492365	56.28945	37.605843	9.6164638671875	9.14860218148106	82.5447	1.5036361
1776000	686.79	223	1656	8953.83	46.5030234375	2.678164016635277	56.121017	38.81622	9.0775146484375	8.01804994995666	69.80779	1.5977001
1792000	722.0	223	1315	9025.89	45.86288671875	3.016112169198536	55.240063	35.57449	9.617173828125	8.583071547383256	70.829445	1.3441126
1808000	664.09	222	1328	9098.29	44.925	2.69107393176962	52.20453	35.840477	8.86657421875	7.802309353646521	66.65584	1.0917113
1824000	713.7	223	1392	9170.22	45.4351171875	2.6000220664628504	53.517628	37.09292	8.935439453125	8.251219606821769	79.45001	1.2902131
