TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
32000	364.75	241	1241	24.28
64000	381.14	241	1388	48.05
96000	359.5	246	901	71.18
128000	383.06	241	1402	94.43
160000	373.3	242	1257	117.72
192000	345.91	250	1340	141.05
224000	382.47	246	1398	164.44
256000	391.25	241	1241	187.67
288000	374.96	246	1379	210.84
320000	353.47	253	1309	234.1
352000	387.4	253	1396	257.3
384000	377.15	256	1046	280.61
416000	395.13	241	1242	303.95
448000	373.36	246	957	327.37
480000	350.59	241	1051	350.43
512000	341.75	252	954	373.48
544000	371.28	253	1333	396.87
576000	373.22	241	1060	420.18
608000	372.67	246	1229	443.73
640000	358.14	246	1266	468.03
672000	369.1	250	1371	492.93
704000	388.54	241	1398	518.25
736000	360.18	240	1197	544.05
768000	338.5	246	869	569.99
800000	366.16	246	950	594.73
832000	344.37	246	1210	619.35
864000	383.39	252	1342	645.68
896000	390.01	241	910	671.82
928000	400.68	242	1227	697.38
960000	378.31	241	1024	723.3
992000	362.02	253	951	748.44
1024000	364.83	241	1392	773.26
1056000	364.28	241	954	799.05
1088000	364.93	242	919	824.16
1120000	369.13	240	939	849.94
1152000	373.63	241	1374	875.82
1184000	353.88	250	1360	901.08
1216000	377.77	241	1364	927.63
1248000	360.48	241	1341	954.52
1280000	355.92	253	944	979.93
1312000	353.52	241	925	1006.53
1344000	359.92	241	821	1032.8
1376000	367.44	241	949	1058.52
1408000	361.24	240	1316	1084.12
1440000	358.52	250	1229	1110.2
1472000	363.01	250	1237	1135.37
1504000	374.42	241	921	1161.24
1536000	389.27	241	1381	1186.55
1568000	384.37	253	1031	1213.25
1600000	369.81	241	962	1239.41
1632000	413.55	246	1386	1265.36
1664000	374.37	241	1398	1291.75
1696000	375.24	241	937	1317.58
1728000	396.96	241	1390	1343.81
1760000	362.88	242	1395	1369.44
1792000	400.86	242	1370	1394.12
1824000	363.53	246	946	1419.17
1856000	349.2	241	1225	1444.38
1888000	368.7	250	1235	1470.13
1920000	382.59	246	1051	1495.45
1952000	404.08	253	1302	1520.03
1984000	363.31	250	1017	1545.27
2016000	387.98	241	1365	1570.66
2048000	370.18	250	1401	1595.59
2080000	385.57	254	1363	1620.14
2112000	420.6	253	1177	1645.74
2144000	363.31	246	941	1671.39
2176000	357.88	246	1238	1696.45
2208000	395.72	250	1377	1721.36
2240000	383.47	241	1198	1746.13
2272000	361.78	241	862	1771.89
2304000	355.6	241	905	1797.16
2336000	368.2	250	950	1822.44
