TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
1664000	574.9	111	1618	2570.6	38.39584	3.0677214	48.004433	29.659903	5.9843926	4.66922	37.514404	0.9997804
1696000	553.53	111	1212	2620.17	36.36471	3.4196692	47.8752	23.794277	5.751666	4.5875807	48.75556	0.9458268
1728000	604.04	113	1211	2669.7	34.737667	3.482926	46.280853	22.921259	6.3954334	6.474151	67.03906	0.83603215
1760000	569.73	105	1068	2719.17	34.847557	3.4855297	45.458073	23.66273	6.2792253	6.665203	69.33687	0.9513676
1792000	595.71	105	1210	2768.66	35.640415	3.4594178	47.794724	23.908241	6.0271235	6.074794	47.72609	0.85435313
1824000	569.73	111	1079	2818.08	36.628204	3.4099796	47.010113	26.86455	5.6980886	5.3653393	42.30971	0.8598699
1856000	568.19	105	1211	2867.71	36.849003	3.383931	46.053635	24.757645	5.640123	5.277718	54.645084	0.950875
1888000	566.26	113	1087	2917.02	37.07481	3.2405279	46.123898	26.83031	5.7407	5.4002414	55.530067	0.9949895
1920000	576.76	113	1199	2966.34	38.15781	3.0266526	46.84735	28.287373	5.721442	5.4931746	49.186707	0.7254773
1952000	564.81	113	1213	3015.73	39.277554	2.8466208	49.6799	29.189703	5.3484015	5.116031	56.98658	0.89358556
1984000	547.65	105	1082	3065.18	40.44362	2.8041596	49.24902	30.475182	5.6227546	5.516299	55.107494	0.9220104
2016000	592.62	113	1078	3114.66	40.76517	2.7485557	48.566765	32.074337	6.257794	6.07241	54.57984	0.7448276
2048000	607.27	120	1218	3164.05	40.583607	2.8505213	47.9698	31.061525	6.5009375	5.849437	47.414738	0.69809425
2080000	529.61	111	1202	3213.57	40.57132	2.8515735	49.711746	31.273733	6.1462274	5.6573534	57.197914	1.0169928
2112000	552.47	105	1209	3262.88	40.95359	2.837103	49.663086	30.257875	6.0087013	5.165713	39.527435	1.0307659
2144000	609.49	108	1210	3312.16	41.97352	2.6410015	50.93655	33.265015	6.507108	6.4513507	50.862934	0.87922907
2176000	557.41	105	1209	3361.68	42.40619	2.5873284	49.252674	31.069832	6.17439	5.6325593	57.10008	0.87006426
2208000	576.15	105	1081	3411.07	42.03175	2.663743	49.890755	34.264126	6.334668	6.1771007	65.72143	0.9071303
2240000	584.05	113	1203	3460.38	41.36521	2.764718	50.289528	33.095768	6.5473137	5.9324646	49.314007	1.0321566
2272000	599.61	113	1212	3509.57	41.185833	2.8663647	49.052692	31.686857	5.798201	5.296869	49.605225	0.9482967
2304000	528.46	111	1022	3558.96	40.972103	2.8382359	50.355743	31.8858	6.4757724	6.559681	71.366745	0.63400257
2336000	532.64	105	1069	3608.39	39.857166	2.8741486	47.939064	30.987316	6.237981	6.1491075	58.351936	0.9341868
2368000	569.64	105	1083	3657.77	38.36844	2.946474	47.347076	27.827702	6.084781	6.053165	53.271652	0.7559434
2400000	571.57	105	1215	3707.12	38.734245	2.9606922	45.92966	30.522888	5.9738345	5.664196	49.99816	0.8604909
2432000	528.57	113	1212	3756.65	39.516674	2.9753296	47.47606	30.367645	5.5880785	4.9068375	48.19714	0.7289766
2464000	504.51	108	860	3805.89	40.17746	2.9016619	49.98861	31.215166	5.939451	5.509449	43.25888	0.73380196
2496000	575.69	111	1197	3855.19	39.034657	2.9499109	48.59211	28.267794	6.119128	6.0414095	61.227036	0.7394866
2528000	565.52	111	1195	3904.53	38.017868	3.062406	47.85354	26.140675	5.256343	5.1592493	47.77303	0.59991246
2560000	535.48	105	1074	3953.98	37.791416	3.0394032	46.054768	26.19001	5.3395762	4.967421	45.917686	0.7883785
2592000	537.2	108	1080	4003.29	36.82606	3.1539266	45.20282	26.743988	5.2311187	5.7983527	49.811893	0.6749773
2624000	590.41	105	1086	4052.66	35.56438	3.240182	44.81624	23.571491	5.4532356	5.917248	63.66391	0.8515131
2656000	552.88	105	1223	4101.87	34.018623	3.5772374	44.474834	21.058388	5.0917587	5.266082	48.412582	0.7877184
2688000	503.67	105	1202	4151.36	34.73803	3.5246015	44.98699	23.076326	5.7408195	6.5065174	50.730766	0.603166
2720000	592.89	111	1817	4200.78	35.656048	3.4371727	45.10507	24.611443	5.7807813	5.9817615	55.374195	0.48704922
2752000	552.73	105	1996	4250.19	35.61921	3.4779737	46.26395	24.139677	5.6982684	5.619765	54.4837	0.38828444
2784000	589.81	111	1094	4299.36	36.552666	3.3242154	45.912827	27.497688	6.165003	6.969262	73.52139	0.8364296
2816000	590.78	113	1207	4348.99	38.555824	3.3108542	49.90666	25.78903	5.779168	5.989417	62.38395	0.6239209
2848000	620.84	111	1545	4398.39	41.20936	2.9488692	50.90616	31.635895	5.7651086	5.9010224	47.25155	0.7457233
2880000	569.43	105	878	4447.89	42.14033	2.635878	49.930916	33.283752	5.133456	5.8537083	51.71135	0.535779
2912000	546.75	108	1186	4497.5	42.434032	2.62371	49.820778	32.744724	5.2953386	5.8387794	63.664837	0.7021307
2944000	514.25	105	1039	4547.09	42.81798	2.645749	52.0812	34.255325	5.842577	6.329132	49.643696	0.54346585
2976000	494.49	108	883	4596.54	42.26597	2.7453284	50.414284	32.155853	5.9508743	6.6289926	77.358315	0.6949281
3008000	551.62	108	1213	4645.88	42.007996	2.6305213	50.090294	34.5227	6.836864	7.313965	49.72187	0.8327508
3040000	562.76	111	884	4695.11	41.201267	2.9423664	48.973934	31.576035	6.69119	7.5626435	66.408325	0.92483354
3072000	528.46	105	1083	4744.55	41.511265	2.863954	51.960617	31.19292	6.038252	5.9103966	46.152763	0.5454563
3104000	595.97	111	1171	4793.91	41.171635	2.9615972	50.144173	32.762604	6.011169	5.929791	53.186317	0.38737333
3136000	564.01	113	1106	4843.18	39.99172	3.0666206	49.893425	30.095623	5.695967	5.991314	63.14425	0.74950165
3168000	626.13	105	1803	4892.73	39.48821	3.0148997	48.85262	28.501566	5.80604	6.315659	66.93502	0.7357142
3200000	620.2	105	1031	4942.19	40.44227	2.7914321	48.74388	31.338003	5.8622518	5.968466	44.758415	0.80346924
3232000	580.82	105	1208	4991.56	41.90259	2.643778	49.741997	31.117167	6.5154347	6.3059645	48.95841	0.9315161
3264000	657.78	113	1208	5040.92	42.458595	2.5088592	50.02606	33.01854	6.478734	5.9790053	44.907017	0.7303816
3296000	609.85	105	2006	5090.26	40.791008	2.88076	49.94076	30.85399	6.763042	6.2961926	53.26313	0.77221197
3328000	567.39	105	1092	5139.66	38.469303	3.15132	47.59251	27.93409	6.2851105	6.1975904	47.922905	0.7020781
3360000	551.24	108	839	5189.05	38.526077	3.0170994	46.565987	29.202032	7.0019746	7.2337027	56.93064	0.6996753
3392000	598.13	105	1213	5238.22	40.005993	3.022944	48.33458	29.624004	6.5886636	6.718191	56.669117	0.9097839
3424000	566.66	105	1219	5287.43	39.748394	3.134949	48.38405	29.091948	6.129567	6.2187405	51.278122	0.75050616
