TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
32000	372.36	246	973	44.21
64000	401.62	246	1331	89.28
96000	353.38	250	953	120.34
128000	357.09	241	950	149.47
160000	321.77	250	911	181.42
192000	367.78	253	955	224.26
224000	389.43	250	1311	269.0
256000	349.5	253	904	312.42
288000	363.65	241	1246	344.8
320000	385.76	253	1210	392.32
352000	353.9	246	870	438.03
384000	355.79	242	1259	483.41
416000	371.15	240	1041	529.88
448000	364.35	253	1221	575.55
480000	375.46	242	950	621.91
512000	346.2	241	953	667.65
544000	388.95	246	1317	713.8
576000	372.0	256	1363	760.68
608000	364.74	250	821	804.96
640000	368.19	241	942	852.0
672000	377.06	242	1341	899.29
704000	344.17	250	943	945.0
736000	354.51	253	935	993.1
768000	389.41	250	1422	1045.13
800000	380.44	241	1242	1096.35
832000	358.93	253	1230	1143.28
864000	371.08	253	1235	1192.52
896000	371.98	250	922	1242.11
928000	377.94	250	1304	1274.05
960000	391.07	246	1368	1319.54
992000	379.44	241	1208	1365.36
1024000	356.41	241	885	1395.93
1056000	375.5	256	953	1425.96
1088000	370.01	240	896	1456.18
1120000	380.05	241	902	1494.09
1152000	364.53	241	1384	1543.78
1184000	372.67	246	939	1594.33
1216000	393.55	253	1394	1643.45
1248000	360.67	246	1224	1693.81
1280000	388.94	250	1392	1745.01
1312000	345.71	250	945	1790.28
1344000	388.42	246	1364	1841.1
1376000	361.25	241	1364	1886.31
1408000	401.39	241	1393	1940.3
1440000	388.03	246	1368	1992.19
1472000	384.82	250	1382	2043.72
1504000	372.35	241	1383	2092.51
1536000	357.1	246	952	2134.77
1568000	336.2	241	935	2187.18
1600000	361.05	253	941	2236.62
1632000	351.3	241	1318	2281.6
1664000	360.17	246	1392	2329.73
1696000	363.31	241	1386	2380.32
1728000	367.92	250	1172	2429.87
1760000	360.89	253	1016	2484.5
1792000	357.44	240	1335	2534.51
1824000	389.38	253	1402	2586.79
1856000	368.77	250	1390	2633.88
1888000	342.33	250	917	2672.47
1920000	369.11	246	1160	2703.59
1952000	353.33	242	911	2735.91
1984000	390.93	253	964	2782.64
2016000	389.09	250	1322	2830.02
2048000	400.71	257	1367	2881.3
2080000	369.13	241	1359	2932.71
2112000	378.45	242	951	2965.99
2144000	409.02	256	1395	3011.5
2176000	382.86	250	1406	3062.12
2208000	388.76	240	1220	3116.0
2240000	379.08	250	938	3165.18
2272000	365.04	241	1325	3211.78
2304000	370.89	241	962	3257.83
2336000	373.71	241	1235	3304.03
2368000	386.44	250	1240	3353.4
2400000	393.45	246	1412	3398.38
2432000	386.35	246	1397	3445.04
2464000	371.43	241	1395	3495.05
2496000	334.54	241	806	3542.48
2528000	366.79	241	916	3593.98
2560000	351.32	240	902	3642.71
2592000	366.05	253	920	3689.14
2624000	371.63	246	1040	3740.68
2656000	351.84	250	1386	3790.91
2688000	350.16	250	896	3837.21
2720000	391.06	240	1370	3882.02
2752000	358.04	241	1181	3913.51
2784000	373.71	241	950	3946.6
2816000	351.28	242	1206	3997.22
2848000	371.5	253	1150	4049.41
2880000	384.67	250	1042	4098.51
2912000	358.47	250	1378	4148.27
2944000	364.25	253	1206	4201.18
2976000	403.21	242	1401	4251.32
3008000	355.14	241	925	4300.6
3040000	364.2	242	1378	4349.38
3072000	388.19	246	1232	4395.61
3104000	385.96	240	1352	4444.8
3136000	385.3	246	1359	4494.57
3168000	353.49	241	1014	4543.3
3200000	381.6	250	1373	4592.18
3232000	406.28	242	1411	4641.51
3264000	357.34	250	956	4695.41
3296000	379.78	241	1042	4750.97
3328000	384.06	253	1361	4794.95
3360000	360.88	240	1055	4841.97
3392000	362.3	241	908	4891.99
3424000	394.81	240	1355	4943.44
3456000	365.48	250	1370	4990.94
3488000	359.61	240	956	5043.59
3520000	365.24	250	1324	5094.23
3552000	381.98	246	949	5134.41
3584000	351.58	240	1179	5167.41
3616000	374.89	250	874	5210.77
3648000	367.12	246	1342	5259.93
3680000	367.05	254	1361	5309.77
3712000	377.17	241	1409	5358.83
3744000	347.96	242	1405	5410.09
3776000	372.73	246	1038	5457.62
3808000	369.93	250	1215	5503.02
3840000	380.54	246	1303	5553.67
3872000	380.74	256	956	5601.93
3904000	367.72	246	1058	5649.77
3936000	380.79	250	960	5689.63
3968000	386.77	253	933	5733.8
4000000	389.66	253	1356	5781.57
4032000	364.02	240	1339	5827.69
4064000	382.99	253	1312	5873.6
4096000	374.9	253	1386	5922.98
4128000	384.66	250	1587	5967.71
4160000	357.7	246	937	6016.89
4192000	355.28	240	966	6061.1
4224000	353.82	250	935	6104.1
4256000	374.71	246	1211	6149.7
4288000	337.17	246	901	6193.73
4320000	364.91	240	1374	6240.78
4352000	354.81	240	952	6288.58
4384000	354.52	253	810	6321.44
4416000	378.85	241	1370	6352.18
4448000	358.13	241	936	6398.08
4480000	351.13	246	894	6447.31
4512000	377.53	253	1366	6496.33
4544000	391.56	246	1370	6536.85
4576000	360.39	250	913	6575.08
4608000	372.45	241	882	6619.0
4640000	347.84	246	905	6666.09
4672000	369.42	246	1302	6713.64
4704000	345.01	240	1379	6766.13
4736000	347.5	241	1126	6812.87
4768000	389.3	242	1354	6856.91
4800000	390.27	240	941	6905.41
4832000	357.83	253	906	6953.21
4864000	387.06	242	1371	7002.87
4896000	359.37	241	956	7046.37
4928000	364.11	250	1400	7092.68
4960000	332.38	250	918	7138.65
4992000	387.97	246	1207	7187.06
5024000	377.77	250	948	7234.81
5056000	380.54	241	1346	7280.48
5088000	354.27	250	954	7325.99
5120000	356.73	241	1202	7371.09
5152000	335.35	250	1360	7418.72
5184000	366.39	241	1047	7462.74
5216000	371.96	253	1346	7489.53
5248000	399.35	242	1221	7518.16
5280000	370.75	241	908	7560.7
5312000	379.42	241	1400	7606.41
5344000	372.31	256	1220	7650.67
5376000	401.24	252	1399	7701.32
5408000	383.84	240	1355	7749.31
5440000	398.48	253	1314	7794.52
5472000	363.72	242	1243	7845.49
5504000	373.15	250	1341	7890.89
5536000	401.56	246	1228	7939.8
5568000	379.37	246	1218	7986.04
5600000	385.4	246	953	8037.18
5632000	388.8	253	1327	8087.98
5664000	371.12	242	1004	8138.54
5696000	361.27	240	946	8193.61
5728000	354.23	242	950	8239.03
5760000	392.82	246	1373	8289.52
5792000	372.1	242	951	8339.87
5824000	365.69	246	1374	8386.8
5856000	415.3	241	1409	8425.83
5888000	369.8	241	1379	8475.06
5920000	371.71	241	950	8526.29
5952000	420.08	246	1343	8572.54
5984000	362.53	241	1344	8617.21
6016000	361.01	253	957	8648.59
6048000	370.98	254	1174	8686.41
6080000	359.51	241	922	8735.87
6112000	380.85	241	1213	8779.57
6144000	360.19	246	928	8827.42
6176000	364.74	241	1340	8878.58
6208000	356.83	246	924	8927.82
6240000	422.01	253	972	8976.29
6272000	364.28	242	909	9023.73
6304000	372.67	241	1376	9072.33
6336000	391.79	253	1391	9120.73
6368000	357.23	256	893	9167.57
6400000	380.0	246	958	9213.51
6432000	381.53	240	1379	9264.51
6464000	361.77	241	1227	9304.98
6496000	368.82	250	937	9334.53
6528000	370.59	241	936	9386.01
6560000	374.12	241	944	9436.01
6592000	359.2	241	1124	9484.91
6624000	366.71	241	934	9527.27
6656000	360.23	241	1201	9576.36
6688000	369.14	241	1347	9628.38
6720000	380.02	246	1217	9674.59
6752000	378.57	241	1364	9720.05
6784000	363.85	250	999	9765.58
6816000	344.24	242	783	9800.81
6848000	368.03	246	1041	9833.27
6880000	376.49	253	949	9883.63
6912000	372.03	253	1032	9934.11
6944000	384.16	241	1401	9981.97
6976000	389.67	250	1367	10031.88
7008000	379.24	241	1304	10080.05
7040000	351.84	250	1225	10128.67
7072000	371.81	241	980	10174.59
7104000	337.33	242	1348	10222.91
7136000	378.8	241	1332	10270.02
7168000	382.78	250	1025	10312.64
7200000	383.51	246	1373	10352.7
7232000	368.41	241	1358	10403.35
7264000	402.76	250	1387	10453.4
7296000	383.47	241	1329	10498.4
7328000	346.7	241	833	10542.17
7360000	373.01	250	863	10588.42
7392000	371.14	250	1381	10638.22
7424000	384.48	241	1392	10683.33
7456000	360.39	250	1387	10725.43
7488000	374.87	253	1323	10772.05
7520000	385.26	250	1038	10824.61
7552000	390.01	242	1238	10875.21
7584000	388.89	253	1368	10923.69
7616000	356.14	250	1356	10962.88
7648000	348.82	241	802	10993.31
7680000	337.16	241	933	11037.41
7712000	349.28	241	928	11085.51
