TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
32000	457.55	111	1219	28.67
64000	475.2	108	1217	57.07
96000	442.76	108	1017	85.11
128000	473.88	111	1230	114.15
160000	443.37	111	1196	143.12
192000	446.46	105	1029	172.14
224000	491.46	111	1219	200.82
256000	494.18	108	1155	229.85
288000	473.96	108	2107	258.26
320000	486.14	108	1206	283.72
352000	445.5	105	1434	310.35
384000	468.79	111	858	339.67
416000	406.9	105	1031	368.84
448000	439.51	120	865	398.22
480000	394.17	111	1042	427.36
512000	485.9	108	1207	455.76
544000	395.1	108	988	483.15
576000	449.6	111	1037	510.74
608000	476.96	111	1199	537.87
640000	469.89	111	1194	566.72
672000	440.36	111	1209	594.67
704000	441.31	105	1024	623.45
736000	423.78	113	1220	652.01
768000	419.54	105	1030	680.68
800000	474.33	111	1024	708.75
832000	449.07	111	1048	736.23
864000	439.28	108	1075	763.46
896000	457.26	111	1665	791.54
928000	423.12	120	839	817.89
960000	499.82	111	1028	842.73
992000	480.81	111	983	871.42
1024000	442.93	111	1037	899.92
1056000	385.29	111	821	929.35
1088000	452.6	111	1208	960.02
1120000	421.35	108	1036	988.92
1152000	431.05	111	1424	1018.16
1184000	485.81	111	1074	1047.85
1216000	451.62	111	1210	1075.93
1248000	494.01	111	1201	1104.54
1280000	433.46	111	1085	1134.09
1312000	544.58	111	1164	1163.21
1344000	445.06	111	1029	1191.72
1376000	442.28	111	865	1221.25
1408000	417.74	108	1222	1250.08
1440000	458.21	108	1441	1278.91
1472000	501.11	111	1137	1307.73
1504000	467.34	111	1026	1334.91
1536000	499.12	111	1468	1359.05
1568000	406.2	111	1436	1385.36
1600000	465.14	111	1217	1412.73
1632000	471.09	108	1205	1442.25
1664000	518.27	108	1219	1471.86
1696000	495.22	108	1201	1500.23
1728000	472.42	111	1173	1528.86
1760000	464.25	111	1212	1556.08
1792000	454.14	105	1222	1582.87
1824000	423.16	111	1807	1611.97
1856000	441.21	105	1205	1639.95
1888000	437.03	108	1037	1668.14
1920000	431.12	105	1069	1695.41
1952000	442.6	105	1045	1724.34
1984000	420.85	111	1149	1752.98
2016000	424.07	111	1785	1780.96
2048000	434.42	111	1068	1810.13
2080000	467.23	105	1200	1839.12
2112000	441.49	111	1214	1866.57
2144000	419.34	113	1070	1890.75
2176000	458.45	105	1687	1918.93
2208000	471.71	105	1213	1947.04
2240000	460.63	111	844	1975.52
2272000	454.16	105	1066	2004.87
2304000	443.42	111	1442	2033.21
2336000	451.86	105	1024	2062.59
2368000	433.52	108	1386	2090.88
2400000	451.06	105	1214	2119.05
2432000	428.1	111	819	2147.68
2464000	453.9	105	1078	2176.39
2496000	427.21	108	1835	2204.69
2528000	394.02	108	1201	2232.98
2560000	392.17	108	862	2261.21
2592000	463.94	111	1081	2289.92
2624000	493.77	108	1211	2318.02
2656000	439.51	105	1184	2345.64
2688000	443.59	108	1219	2371.74
2720000	448.77	111	1206	2399.26
2752000	496.65	111	1023	2423.82
2784000	447.73	105	1195	2450.62
2816000	424.62	111	842	2478.69
2848000	417.27	105	1030	2508.73
2880000	474.98	113	1015	2538.7
2912000	424.64	111	1010	2566.31
2944000	363.19	108	1012	2595.62
2976000	485.64	111	1214	2623.95
3008000	446.85	108	1198	2652.54
3040000	473.89	111	1067	2681.65
3072000	361.77	111	1019	2708.58
3104000	412.66	105	1205	2737.14
3136000	435.15	111	1033	2765.73
3168000	459.74	111	882	2793.89
3200000	486.89	105	1211	2823.18
3232000	452.7	108	1209	2852.33
3264000	449.78	111	1164	2880.78
3296000	444.72	108	1069	2909.61
3328000	446.25	111	1046	2934.76
3360000	503.26	105	1209	2959.77
3392000	498.92	108	1225	2988.1
3424000	456.56	108	1026	3016.64
3456000	463.23	108	1081	3045.14
3488000	494.61	108	1029	3073.79
3520000	428.11	111	1086	3101.67
3552000	498.67	105	1210	3129.32
3584000	397.17	108	1060	3156.61
3616000	425.74	111	1211	3184.43
3648000	447.33	111	881	3212.26
3680000	447.21	111	1219	3239.29
3712000	448.22	113	1106	3268.05
3744000	446.72	113	1214	3296.85
3776000	395.18	105	1221	3325.53
3808000	429.37	108	1063	3354.03
3840000	398.69	108	1686	3382.94
3872000	416.63	108	842	3411.48
3904000	437.17	108	1172	3440.66
3936000	523.51	108	1803	3468.39
3968000	469.13	111	1070	3492.49
4000000	442.16	111	1730	3520.97
4032000	462.43	105	1202	3549.88
4064000	427.0	113	1026	3577.63
4096000	472.75	111	1184	3606.17
4128000	431.62	113	815	3635.46
4160000	443.06	105	1006	3663.97
4192000	428.84	108	1430	3692.62
4224000	463.14	105	1216	3721.57
4256000	538.76	111	1205	3749.82
4288000	459.16	111	867	3778.11
4320000	383.73	111	1218	3806.61
4352000	450.83	108	1171	3834.65
4384000	415.86	105	881	3863.16
4416000	458.09	108	1010	3891.26
4448000	431.9	105	1023	3918.03
4480000	425.79	108	1008	3945.06
4512000	452.53	108	1034	3974.07
4544000	446.39	108	844	4001.07
4576000	367.9	108	831	4023.97
4608000	474.47	105	1029	4052.65
4640000	460.32	111	1069	4081.54
4672000	415.53	108	1077	4109.01
4704000	443.1	111	1201	4137.65
4736000	499.18	105	1043	4166.56
4768000	411.98	111	970	4194.76
4800000	432.98	111	1187	4223.61
4832000	475.63	111	1207	4252.47
4864000	462.59	111	1030	4280.61
4896000	430.89	108	1178	4309.83
4928000	428.67	111	808	4339.25
4960000	493.3	108	1221	4367.12
4992000	421.93	108	1023	4396.47
5024000	406.32	108	1021	4425.52
5056000	401.55	111	958	4453.85
5088000	472.28	111	1193	4483.65
5120000	479.99	105	1179	4509.19
5152000	457.35	108	1219	4535.03
5184000	426.74	111	1085	4562.26
5216000	455.66	105	1209	4590.75
5248000	416.21	105	1071	4618.75
5280000	438.3	105	1161	4646.94
5312000	402.48	108	1201	4674.88
5344000	454.1	111	1080	4702.44
5376000	445.53	111	1029	4730.7
5408000	451.41	111	1159	4758.55
5440000	468.55	111	1178	4786.74
5472000	478.34	111	984	4814.57
5504000	493.15	111	1068	4842.82
5536000	427.18	105	1032	4871.78
5568000	492.33	108	1023	4899.66
5600000	440.18	105	1542	4929.14
5632000	441.91	111	1227	4958.77
5664000	411.34	105	1218	4987.46
5696000	431.04	113	1027	5016.41
5728000	479.68	108	1031	5042.88
5760000	442.85	108	1083	5068.46
5792000	436.26	105	805	5097.48
5824000	437.1	105	1019	5126.16
5856000	372.01	108	1034	5155.07
5888000	449.21	108	1016	5184.36
5920000	378.91	108	876	5213.85
5952000	476.55	111	1222	5242.5
5984000	444.08	111	1181	5272.09
6016000	419.01	111	844	5300.86
6048000	448.12	113	1807	5328.77
6080000	439.74	108	1009	5357.03
6112000	446.2	111	1774	5384.34
6144000	418.59	105	1209	5411.71
6176000	432.54	108	1031	5439.46
6208000	466.95	111	1213	5467.27
6240000	480.72	105	1000	5494.65
6272000	459.58	111	1204	5523.15
6304000	485.54	111	1024	5552.5
6336000	470.92	105	1076	5578.05
6368000	424.81	105	1232	5603.09
6400000	418.3	111	1030	5631.45
6432000	420.02	108	1036	5660.81
6464000	475.6	108	1184	5689.24
6496000	476.54	113	1208	5718.33
6528000	403.56	111	1029	5747.15
6560000	478.2	108	976	5774.83
6592000	429.71	111	1016	5803.96
6624000	425.56	111	1202	5832.73
6656000	455.32	111	1213	5860.76
6688000	429.01	111	1079	5889.41
6720000	459.2	111	1158	5917.95
6752000	486.77	111	1080	5945.97
6784000	389.71	105	1216	5975.26
6816000	461.75	113	1008	6003.85
6848000	450.74	113	1078	6031.69
6880000	495.38	111	863	6060.93
6912000	415.28	105	1131	6085.82
6944000	428.33	108	1011	6112.76
6976000	432.75	111	1195	6141.67
7008000	476.88	111	1083	6169.95
7040000	479.14	108	1037	6197.24
7072000	476.5	108	1011	6224.97
7104000	430.28	111	971	6253.63
7136000	399.81	108	1008	6281.93
7168000	388.78	105	993	6310.58
7200000	445.78	105	1210	6339.91
7232000	465.32	108	1193	6368.47
7264000	482.15	105	1175	6396.67
7296000	431.33	111	1032	6425.34
7328000	434.12	111	1196	6454.09
7360000	446.39	108	1111	6481.99
7392000	425.54	108	994	6510.92
7424000	467.02	105	1082	6539.64
7456000	413.68	108	1211	6567.74
7488000	484.69	108	883	6596.82
7520000	458.67	108	1081	6625.44
7552000	425.75	105	1098	6649.06
7584000	430.94	105	1031	6677.88
7616000	456.52	105	1434	6706.2
7648000	440.85	111	1030	6733.54
7680000	497.45	108	1067	6762.11
7712000	406.04	111	1164	6790.37
7744000	443.72	111	1018	6818.48
7776000	453.59	111	1201	6847.54
7808000	395.93	111	807	6875.79
7840000	444.7	108	1014	6903.15
7872000	428.47	111	1001	6932.55
7904000	465.62	111	1393	6960.81
7936000	472.09	113	1187	6988.76
7968000	427.7	108	1055	7015.64
8000000	478.02	113	1211	7043.98
8032000	372.06	111	1441	7072.16
8064000	432.35	108	1101	7099.99
8096000	447.93	111	1210	7128.02
8128000	420.28	105	854	7156.49
8160000	442.17	105	1083	7180.11
8192000	445.61	111	1026	7207.72
8224000	447.67	111	1142	7236.49
8256000	465.53	108	1474	7264.85
8288000	494.46	111	1188	7294.23
8320000	464.38	105	1016	7323.78
8352000	449.82	105	1687	7352.16
8384000	474.17	111	1204	7381.24
8416000	405.94	111	998	7409.87
8448000	450.72	111	1085	7438.43
8480000	398.68	108	877	7467.37
8512000	417.26	105	1399	7496.31
8544000	500.36	111	1049	7523.81
8576000	485.16	113	1085	7553.29
8608000	398.51	105	1030	7582.11
8640000	480.58	111	1081	7610.14
8672000	486.19	111	1211	7638.98
8704000	449.22	108	1081	7666.65
8736000	430.8	111	1152	7691.76
8768000	420.22	111	1025	7719.91
8800000	427.34	105	1212	7747.57
8832000	468.01	108	1075	7775.84
8864000	452.31	111	2121	7803.87
8896000	437.15	105	1035	7831.97
8928000	402.92	108	1192	7859.58
8960000	451.79	108	1766	7887.14
8992000	410.04	105	1020	7915.01
9024000	416.72	111	1024	7942.58
9056000	470.84	111	2074	7969.15
9088000	482.76	111	1208	7997.93
9120000	498.2	108	1434	8026.21
9152000	431.07	105	1191	8054.61
9184000	455.06	108	1076	8083.92
9216000	472.74	108	1220	8112.63
9248000	486.62	108	1211	8140.36
9280000	457.98	105	1181	8168.61
9312000	468.62	111	1806	8196.51
9344000	414.04	111	931	8221.37
9376000	435.76	111	1492	8250.71
9408000	462.7	111	1018	8279.32
9440000	492.83	113	1815	8308.33
9472000	456.4	111	876	8336.96
9504000	468.65	108	1031	8366.42
9536000	450.93	105	1541	8394.96
9568000	394.24	111	806	8424.05
9600000	452.16	108	1200	8452.37
9632000	458.31	108	1204	8480.55
9664000	459.73	111	1213	8508.77
9696000	460.34	108	825	8537.51
9728000	442.91	108	1091	8566.66
9760000	414.38	111	1034	8594.33
9792000	446.61	105	1021	8622.66
9824000	377.84	105	1174	8648.72
9856000	462.3	105	1027	8676.52
9888000	469.35	111	1083	8704.89
9920000	477.4	111	1182	8733.78
