TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
32000	462.61	111	1190	79.95	0.39966166	0.28081003	2.0838559	0.054983266
64000	481.8	111	1078	161.29	1.5526379	1.0054073	7.5107613	0.28150684
96000	434.17	108	1436	243.42	3.2424943	1.7791146	19.976244	0.71341425
128000	395.29	108	1022	326.09	4.856792	2.8043795	19.991495	0.87941056
160000	360.26	111	1078	410.94	6.7538853	3.720091	26.09085	1.1939163
192000	383.78	108	808	494.66	8.037903	4.552831	33.612648	1.4156663
224000	420.86	113	852	579.1	8.981418	4.896952	31.207205	1.1567757
256000	466.01	111	1219	662.9	8.671625	5.2264504	31.716759	1.1912535
288000	390.23	120	869	747.08	8.413298	5.4985394	42.504425	1.5561912
320000	519.91	120	1078	830.88	7.6604366	4.887957	33.920834	1.3690445
352000	568.53	120	1201	914.59	7.060586	4.7992125	30.861122	1.4576585
384000	547.41	120	1191	998.6	5.708342	4.0079403	35.302265	1.1920865
416000	508.4	120	1203	1082.89	4.7242064	3.7263799	37.552338	0.84411013
448000	598.19	120	1083	1167.98	4.760016	3.5286694	25.414513	0.62957764
480000	552.97	120	881	1252.75	5.0375	3.8398438	38.089256	1.0284308
512000	584.38	120	881	1336.37	4.6207433	3.396107	33.392887	0.7979268
544000	583.09	120	867	1422.19	4.2295966	3.365122	33.2754	0.80198765
576000	602.23	120	1074	1506.76	3.8832324	3.136082	28.435638	0.6104045
608000	544.31	120	963	1591.63	3.7426186	3.305152	37.077324	0.66561496
640000	583.04	120	843	1676.31	3.7485728	3.0675263	27.069067	0.49936032
672000	667.82	120	1217	1760.68	3.9106739	3.1350389	27.58908	0.3939984
704000	618.55	120	1166	1845.34	3.7669065	2.9777527	23.448734	0.5331768
736000	644.56	120	1198	1929.26	3.537627	2.71062	23.5466	0.5587437
768000	642.0	120	883	2013.35	3.566125	2.5766838	22.663113	0.5738765
800000	704.83	322	1214	2097.44	4.044331	3.1352742	26.902697	0.49066466
832000	690.99	133	1011	2181.43	4.128418	3.1794994	25.558872	0.3454879
864000	653.12	120	1082	2266.64	4.138294	3.0986512	23.217976	0.4833471
896000	641.75	120	1211	2350.63	4.1598873	3.3735065	27.6618	0.6481374
928000	648.62	120	1193	2434.13	4.1986194	3.4556177	25.653976	0.57697386
960000	632.58	120	1087	2518.38	4.097614	3.417914	21.64674	0.4475276
992000	672.97	120	1138	2601.79	4.658082	3.9029403	26.189133	0.46440583
1024000	766.51	120	1020	2685.75	4.4666514	3.6515918	26.321247	0.38468957
1056000	757.98	347	1207	2770.27	4.5059357	3.689039	23.658504	0.3503842
1088000	767.61	120	1232	2854.29	3.972805	3.4129834	25.142107	0.42845687
1120000	770.36	120	1229	2937.89	3.922359	3.531145	26.17911	0.41479307
1152000	777.48	372	1083	3024.81	4.153339	3.7204435	26.113422	0.45833293
1184000	787.38	388	1033	3110.99	3.961384	3.7445877	23.783424	0.42100167
1216000	793.87	374	1027	3218.28	4.405074	5.0288496	33.932823	0.3652023
1248000	796.16	120	1035	3302.82	4.0279245	4.4745917	34.92838	0.35985586
1280000	829.12	120	1209	3386.69	3.8529413	4.3888054	37.829113	0.3126585
1312000	769.9	120	1076	3472.5	4.1956115	4.612928	32.645622	0.40804553
1344000	777.47	401	1084	3557.19	4.003353	4.6609116	32.16318	0.29439867
1376000	781.17	381	1207	3641.87	4.2234793	5.534066	40.64672	0.45841092
1408000	783.91	387	1810	3724.42	4.338588	5.3679132	54.937943	0.35066715
1440000	755.33	395	1218	3808.0	3.209145	3.8172948	33.836586	0.29080316
1472000	717.64	120	1436	3891.67	2.8782237	3.5172362	32.661057	0.34870198
1504000	832.45	120	1433	3974.96	2.5114012	3.263306	37.541298	0.29626015
1536000	767.98	386	1188	4057.91	2.0971541	2.4584653	27.480598	0.295237
1568000	787.82	120	1215	4141.93	1.7662454	2.0827239	27.673647	0.2793941
1600000	833.53	120	1781	4226.73	1.9502854	3.2918248	38.955853	0.26075736
1632000	818.14	120	1370	4309.73	2.141082	3.4984434	40.607502	0.34394062
1664000	774.07	120	1185	4392.65	2.3431625	3.0791135	34.51779	0.26994604
1696000	774.22	120	1221	4476.0	2.4845917	2.6433046	26.088894	0.34927288
1728000	825.72	120	1790	4559.01	2.2247698	2.1857781	17.82007	0.18340543
1760000	788.97	-101	1209	4641.9	1.9745264	1.9660773	23.966772	0.25283223
1792000	805.04	120	1604	4726.18	1.9651356	1.6431878	17.938154	0.39886606
1824000	779.18	120	1035	4809.84	2.0556781	2.2480993	35.85998	0.2991947
1856000	846.42	120	1434	4893.04	2.1581519	1.9199804	23.640644	0.393491
1888000	797.77	120	1217	4977.15	2.0994337	1.9554591	18.453716	0.35904852
1920000	808.78	133	1208	5059.79	2.2242632	2.0951097	19.674345	0.36617047
1952000	875.31	120	1799	5142.8	1.985568	1.6913401	15.635629	0.30442855
1984000	815.34	120	1227	5226.41	1.8955164	1.9808881	31.820917	0.27061164
2016000	808.92	120	1225	5310.12	1.7766875	1.751486	23.44268	0.29914162
2048000	794.1	120	1225	5394.85	2.1206186	2.1241205	20.75916	0.30835512
2080000	831.71	194	1208	5480.03	2.0075495	2.0224752	33.05321	0.28034836
2112000	856.49	397	1225	5562.94	2.192801	2.4463983	36.775295	0.32300055
2144000	890.46	120	1828	5645.4	2.0139778	2.2304685	24.648355	0.31203395
2176000	845.1	384	2384	5727.91	1.763586	1.7020831	16.675238	0.31479335
2208000	835.2	120	1221	5810.96	1.7569183	2.1659684	39.33367	0.24796103
2240000	862.25	396	1217	5894.44	1.7968787	1.5965375	11.367138	0.26446456
2272000	836.45	120	1216	5978.36	2.1775098	1.8494093	14.440322	0.21724953
2304000	906.33	120	1220	6062.4	2.137301	2.3140051	41.68294	0.2520127
2336000	877.45	396	1212	6145.34	1.9424983	1.670022	15.57045	0.2848547
2368000	825.07	120	1768	6227.33	1.6130247	1.39988	14.569033	0.25901306
2400000	837.06	120	1469	6310.9	1.6389129	1.5958551	27.423767	0.21262701
2432000	873.08	120	1776	6394.95	1.6674197	2.0895455	43.1835	0.20913139
2464000	787.0	120	1101	6478.63	1.5501541	2.052149	33.451187	0.22053503
2496000	847.01	523	1219	6562.53	1.6452903	2.4655886	53.067253	0.2043699
2528000	826.35	585	1086	6646.44	1.4861487	1.7143502	19.008802	0.17329669
2560000	867.21	120	1216	6730.29	1.6083963	2.9452653	79.10141	0.22641948
2592000	885.43	133	1219	6813.41	1.5981548	1.6816028	26.005697	0.24199915
2624000	846.27	523	1206	6896.23	1.8466867	2.1013238	34.64728	0.23478177
2656000	829.58	133	1728	6979.59	2.0524967	2.2057188	35.70536	0.26298296
2688000	853.06	133	1220	7063.51	2.3806465	2.6696243	37.089516	0.29179442
2720000	834.3	120	1440	7147.76	2.3235195	2.7910442	33.968937	0.37314713
2752000	817.46	120	1212	7230.96	2.429855	2.610179	31.31638	0.35367584
2784000	902.01	120	1805	7314.72	2.5548303	2.742084	32.303684	0.36334312
2816000	849.19	120	1595	7398.48	2.590571	2.973169	46.3913	0.4087994
2848000	829.09	120	1217	7481.64	2.7401826	3.7373712	37.920048	0.2550907
2880000	830.74	680	1088	7564.77	2.6834419	3.521436	30.05625	0.24399939
2912000	830.7	676	1216	7648.43	2.3164244	3.3103688	28.8182	0.31103617
2944000	857.81	120	1236	7731.89	1.9219085	2.4974468	29.985804	0.30355883
2976000	934.38	120	1827	7816.15	1.5897382	1.7687886	19.725384	0.24778242
3008000	900.56	523	1783	7900.54	1.795073	2.2848935	29.43094	0.25807524
3040000	888.77	759	1817	7983.85	2.2120883	2.6257718	44.19706	0.27888924
3072000	831.96	383	1229	8066.13	2.136242	2.4278784	34.840614	0.2885499
3104000	864.98	120	1817	8149.53	2.0773818	1.9952688	23.618437	0.39084917
3136000	851.06	570	1771	8232.86	2.4348438	2.440624	33.392227	0.38956344
3168000	850.5	120	1800	8316.21	2.4625888	2.3268528	24.520618	0.54761475
3200000	885.26	603	1442	8400.52	2.459181	2.3875177	21.94508	0.43121713
3232000	839.19	603	1441	8484.1	2.6831775	3.1659067	36.28836	0.33506793
3264000	887.76	120	1835	8566.93	2.7247286	2.848601	19.402962	0.35036296
3296000	859.77	120	1748	8650.88	2.991649	3.199063	26.063814	0.49056947
3328000	908.67	120	1829	8734.53	3.519076	3.769595	27.447954	0.5493554
3360000	808.43	120	1219	8818.35	3.1510978	3.4392974	32.90795	0.57323456
3392000	840.28	120	1219	8902.12	3.002083	3.7084117	50.99246	0.36952597
3424000	927.38	570	1837	8985.74	3.0145526	4.3393135	57.934444	0.46355122
3456000	828.47	683	1219	9069.47	3.569621	5.661441	54.409306	0.38656986
